algorithm,precision,dims,iterations,s,nx,ny,nz,empty,init_time,time,std_dev
lstcs,S,3,100,1,64,64,64,1,3,9578.72,413.6172163
lstcs,S,3,100,1,64,64,64,1,6,9510.68,37.10010243
lstcs,S,3,100,1,64,64,64,1,3,9514.36,37.15683517
lstcs,S,3,100,1,64,64,64,1,4,9508.38,35.71044105
lstcs,S,3,100,1,64,64,64,1,3,9515.88,43.95071786
lstcs,S,3,100,1,500,500,500,1,17,1585742.04,14007.72695
lstcs,S,3,100,1,500,500,500,1,20,1487040.4,72419.46919
lstcs,S,3,100,1,500,500,500,1,19,1534779.42,28056.1863
lstcs,S,3,100,1,500,500,500,1,19,1347773.02,186237.4593
lstcs,S,3,100,1,500,500,500,1,20,1521472.64,6519.735715
lstcs,S,3,100,1,1000,1000,1000,1,30,17902923.58,2252566.893
lstcs,S,3,100,1,1000,1000,1000,1,33,18981273.14,1465425.294
lstcs,S,3,100,1,1000,1000,1000,1,33,18983059.44,4062360.727
lstcs,S,3,100,1,1000,1000,1000,1,32,21773545.8,3699519.127
lstcs,S,3,100,1,1000,1000,1000,1,34,25165586.22,64969.11772
lstcs,S,3,100,1,50,50,50,1,1,6763.98,321.1606134
lstcs,S,3,100,1,50,50,50,1,4,6758.6,32.48137928
lstcs,S,3,100,1,50,50,50,1,1,6771.22,29.23716128
lstcs,S,3,100,1,50,50,50,1,2,6777.14,30.46703793
lstcs,S,3,100,1,50,50,50,1,2,6764.14,21.88607777
lstcs,S,3,100,1,288,288,288,1,8,272427.04,530.1925296
lstcs,S,3,100,1,288,288,288,1,10,269298.98,403.5264299
lstcs,S,3,100,1,288,288,288,1,10,271924.14,420.7665391
lstcs,S,3,100,1,288,288,288,1,10,269385.02,985.5145558
lstcs,S,3,100,1,288,288,288,1,11,272207.64,532.7245352
lstcs,S,3,100,1,192,192,192,1,5,85376.34,1655.235797
lstcs,S,3,100,1,192,192,192,1,8,84079.7,338.7477085
lstcs,S,3,100,1,192,192,192,1,7,85039.44,1776.647046
lstcs,S,3,100,1,192,192,192,1,8,84237.94,554.5972019
lstcs,S,3,100,1,192,192,192,1,7,84291.72,514.0892156
lstcs,S,3,100,1,160,160,160,1,4,54115.22,422.3074847
lstcs,S,3,100,1,160,160,160,1,6,54126.46,165.1669713
lstcs,S,3,100,1,160,160,160,1,6,54192.74,177.0674233
lstcs,S,3,100,1,160,160,160,1,7,54212.36,161.3827451
lstcs,S,3,100,1,160,160,160,1,6,54264.78,222.6037098
lstcs,S,3,100,1,350,350,350,1,11,479541.9,3090.370342
lstcs,S,3,100,1,350,350,350,1,13,477265.8,585.6898838
lstcs,S,3,100,1,350,350,350,1,13,477653.58,1180.75576
lstcs,S,3,100,1,350,350,350,1,14,477455.14,640.113459
lstcs,S,3,100,1,350,350,350,1,14,451521.92,32123.02624
lstcs,S,3,100,1,96,96,96,1,2,18933.48,289.0465181
lstcs,S,3,100,1,96,96,96,1,3,18861.54,74.75539044
lstcs,S,3,100,1,96,96,96,1,3,18832.4,47.60546187
lstcs,S,3,100,1,96,96,96,1,4,18864.12,53.17805562
lstcs,S,3,100,1,96,96,96,1,4,18931.02,49.47099756
lstcs,S,3,100,1,128,128,128,1,3,37853.56,186.5037437
lstcs,S,3,100,1,128,128,128,1,5,37800.22,215.856368
lstcs,S,3,100,1,128,128,128,1,5,37760.28,166.6703381
lstcs,S,3,100,1,128,128,128,1,5,37829.58,184.1739493
lstcs,S,3,100,1,128,128,128,1,5,37843.34,162.0712942
lstcs,S,3,100,1,150,150,150,1,5,45685.26,467.0709073
lstcs,S,3,100,1,150,150,150,1,7,45691.26,208.6464771
lstcs,S,3,100,1,150,150,150,1,6,45687.02,93.62296513
lstcs,S,3,100,1,150,150,150,1,7,45683.9,129.3926196
lstcs,S,3,100,1,150,150,150,1,5,45711.82,124.6665456
lstcs,S,3,100,1,250,250,250,1,7,198864.62,1172.627731
lstcs,S,3,100,1,250,250,250,1,8,198174.96,702.0848086
lstcs,S,3,100,1,250,250,250,1,8,198277.16,425.9819884
lstcs,S,3,100,1,250,250,250,1,9,197277.28,396.7570057
lstcs,S,3,100,1,250,250,250,1,8,198765.68,378.5185036
lstcs,S,3,100,1,300,300,300,1,8,311071.36,369.115091
lstcs,S,3,100,1,300,300,300,1,10,310244.84,1882.27739
lstcs,S,3,100,1,300,300,300,1,12,311589.58,570.1216393
lstcs,S,3,100,1,300,300,300,1,11,309391.12,341.6739756
lstcs,S,3,100,1,300,300,300,1,10,311763.44,310.0284606
lstcs,S,3,100,1,600,600,600,1,39,3634204.96,374189.6785
lstcs,S,3,100,1,600,600,600,1,22,3568580.38,668787.2362
lstcs,S,3,100,1,600,600,600,1,25,3952162.92,21482.1343
lstcs,S,3,100,1,600,600,600,1,23,2782135.66,403694.0145
lstcs,S,3,100,1,600,600,600,1,24,3954459.72,17627.32948
lstcs,S,3,100,1,800,800,800,1,23,8267367.56,1309807.921
lstcs,S,3,100,1,800,800,800,1,28,10054136.1,1955114.862
lstcs,S,3,100,1,800,800,800,1,27,8335744.96,2123823.971
lstcs,S,3,100,1,800,800,800,1,29,11719371.02,138351.4884
lstcs,S,3,100,1,800,800,800,1,27,11633702.48,193806.834
lstcs,S,3,100,1,200,200,200,1,5,93830.4,1404.028718
lstcs,S,3,100,1,200,200,200,1,9,93585,362.9499139
lstcs,S,3,100,1,200,200,200,1,11,95439.5,2067.468329
lstcs,S,3,100,1,200,200,200,1,9,92920.52,349.5659732
lstcs,S,3,100,1,200,200,200,1,7,92878.12,254.424263
lstcs,S,3,100,1,100,100,100,1,3,20513.96,529.0093746
lstcs,S,3,100,1,100,100,100,1,4,20395.3,75.30292159
lstcs,S,3,100,1,100,100,100,1,4,20303.02,72.61583574
lstcs,S,3,100,1,100,100,100,1,4,20326.98,83.03938584
