algorithm,precision,dims,iterations,s,nx,ny,nz,empty,init_time,time,std_dev
lstcss,S,3,100,1,64,64,64,1,2,23999.86,367.421829
lstcss,S,3,100,1,64,64,64,1,3,24599.02,108.8647767
lstcss,S,3,100,1,64,64,64,1,4,24415.04,119.1605572
lstcss,S,3,100,1,64,64,64,1,3,23887.38,141.330519
lstcss,S,3,100,1,64,64,64,1,4,23883.2,110.8995942
lstcss,S,3,100,1,500,500,500,1,38,2847796.88,23820.11438
lstcss,S,3,100,1,500,500,500,1,19,2939684.28,23637.80793
lstcss,S,3,100,1,500,500,500,1,19,2998951.88,17680.90129
lstcss,S,3,100,1,500,500,500,1,18,2956913.72,41898.56358
lstcss,S,3,100,1,500,500,500,1,19,3021552.36,98585.37949
lstcss,S,3,100,1,1000,1000,1000,1,28,19301385.38,996880.2216
lstcss,S,3,100,1,1000,1000,1000,1,36,21555815.62,1660888.54
lstcss,S,3,100,1,1000,1000,1000,1,32,22605237.56,355814.4834
lstcss,S,3,100,1,1000,1000,1000,1,33,22433159.06,165867.4757
lstcss,S,3,100,1,1000,1000,1000,1,36,22464699.4,178303.5697
lstcss,S,3,100,1,50,50,50,1,1,9667.26,339.6904361
lstcss,S,3,100,1,50,50,50,1,1,9644.3,180.6570508
lstcss,S,3,100,1,50,50,50,1,1,9652.64,190.9267671
lstcss,S,3,100,1,50,50,50,1,2,9627.9,179.5131472
lstcss,S,3,100,1,50,50,50,1,1,9598.02,201.1703248
lstcss,S,3,100,1,288,288,288,1,8,463109.74,537.1183039
lstcss,S,3,100,1,288,288,288,1,10,470198.28,326.8318858
lstcss,S,3,100,1,288,288,288,1,9,465727.92,1200.811323
lstcss,S,3,100,1,288,288,288,1,10,465904.44,461.1438457
lstcss,S,3,100,1,288,288,288,1,10,468260.96,1665.270152
lstcss,S,3,100,1,192,192,192,1,6,158048.28,525.669936
lstcss,S,3,100,1,192,192,192,1,7,157927.4,188.6775026
lstcss,S,3,100,1,192,192,192,1,6,158002.6,262.9371788
lstcss,S,3,100,1,192,192,192,1,7,157885.78,78.28596043
lstcss,S,3,100,1,192,192,192,1,7,157956.84,174.2328741
lstcss,S,3,100,1,160,160,160,1,4,101425.26,481.6833736
lstcss,S,3,100,1,160,160,160,1,5,101397.04,110.3675605
lstcss,S,3,100,1,160,160,160,1,5,101343.3,185.2747419
lstcss,S,3,100,1,160,160,160,1,5,101521.06,1559.074577
lstcss,S,3,100,1,160,160,160,1,5,101306.94,188.6680058
lstcss,S,3,100,1,350,350,350,1,11,834195.3,2580.072544
lstcss,S,3,100,1,350,350,350,1,14,833531.94,1071.976649
lstcss,S,3,100,1,350,350,350,1,13,834008.58,2383.051221
lstcss,S,3,100,1,350,350,350,1,13,835056.14,2774.652303
lstcss,S,3,100,1,350,350,350,1,15,836423.68,8802.84849
lstcss,S,3,100,1,96,96,96,1,3,38218.34,246.1125442
lstcss,S,3,100,1,96,96,96,1,6,38201.52,139.6236713
lstcss,S,3,100,1,96,96,96,1,4,38236.76,114.8159501
lstcss,S,3,100,1,96,96,96,1,4,38407.04,291.7733339
lstcss,S,3,100,1,96,96,96,1,4,38381.66,168.6864085
lstcss,S,3,100,1,128,128,128,1,3,71210.88,2194.651823
lstcss,S,3,100,1,128,128,128,1,5,69490.88,224.3105561
lstcss,S,3,100,1,128,128,128,1,4,69578.28,161.2844741
lstcss,S,3,100,1,128,128,128,1,4,69552.56,163.9335426
lstcss,S,3,100,1,128,128,128,1,5,69588.18,226.044216
lstcss,S,3,100,1,150,150,150,1,4,84251.16,347.5270556
lstcss,S,3,100,1,150,150,150,1,6,84990.82,1509.158967
lstcss,S,3,100,1,150,150,150,1,5,84220.62,237.4797583
lstcss,S,3,100,1,150,150,150,1,5,84170.14,127.5457581
lstcss,S,3,100,1,150,150,150,1,5,84201.9,363.3276896
lstcss,S,3,100,1,250,250,250,1,7,307888.18,4808.97238
lstcss,S,3,100,1,250,250,250,1,8,304980.6,1596.259039
lstcss,S,3,100,1,250,250,250,1,8,304851.78,632.5024044
lstcss,S,3,100,1,250,250,250,1,8,305137.02,1608.079594
lstcss,S,3,100,1,250,250,250,1,8,304763.28,473.2551971
lstcss,S,3,100,1,300,300,300,1,9,515637.58,1215.189106
lstcss,S,3,100,1,300,300,300,1,13,515272.38,481.7042616
lstcss,S,3,100,1,300,300,300,1,11,516883.88,5545.377512
lstcss,S,3,100,1,300,300,300,1,11,515161.42,383.8710247
lstcss,S,3,100,1,300,300,300,1,11,515301.4,4256.202072
lstcss,S,3,100,1,600,600,600,1,18,4145731.18,165490.496
lstcss,S,3,100,1,600,600,600,1,20,4030547.36,71441.44054
lstcss,S,3,100,1,600,600,600,1,22,4286164.78,111149.9854
lstcss,S,3,100,1,600,600,600,1,21,4331963.96,18231.4284
lstcss,S,3,100,1,600,600,600,1,22,4235468,112198.8468
lstcss,S,3,100,1,800,800,800,1,69,11908733.54,477495.1812
lstcss,S,3,100,1,800,800,800,1,28,12662116.78,743355.7316
lstcss,S,3,100,1,800,800,800,1,29,13139374.52,298875.4454
lstcss,S,3,100,1,800,800,800,1,28,13067483.76,107446.3695
lstcss,S,3,100,1,800,800,800,1,29,13109465.46,205167.1111
lstcss,S,3,100,1,200,200,200,1,5,165796.28,413.2532415
lstcss,S,3,100,1,200,200,200,1,7,165885.26,339.8428349
lstcss,S,3,100,1,200,200,200,1,9,166050.92,440.2898518
lstcss,S,3,100,1,200,200,200,1,7,165868.82,198.958457
lstcss,S,3,100,1,200,200,200,1,7,165882.14,126.6020553
lstcss,S,3,100,1,100,100,100,1,3,37911.9,293.4332803
lstcss,S,3,100,1,100,100,100,1,4,37888.02,122.2498245
lstcss,S,3,100,1,100,100,100,1,3,37863.96,95.15397207
lstcss,S,3,100,1,100,100,100,1,3,37896.86,101.0223757
lstcss,S,3,100,1,100,100,100,1,4,37916.34,163.2771399
lstcss,S,3,100,1,450,450,450,1,14,1696392.42,11551.38162
lstcss,S,3,100,1,450,450,450,1,17,1693925.66,2372.172613
lstcss,S,3,100,1,450,450,450,1,16,1698620.64,3773.127073
lstcss,S,3,100,1,450,450,450,1,18,1704458.94,6908.9806
lstcss,S,3,100,1,450,450,450,1,17,1676350.22,2935.902548
lstcss,S,3,100,1,256,256,256,1,6,705182.22,1393.596273
lstcss,S,3,100,1,256,256,256,1,8,708463.54,845.7323503
lstcss,S,3,100,1,256,256,256,1,8,706039.04,5928.169616
lstcss,S,3,100,1,256,256,256,1,8,727885.6,8688.59329
lstcss,S,3,100,1,256,256,256,1,8,766409.74,1183.962479
lstcss,S,3,100,1,400,400,400,1,13,1125895.96,3232.781768
lstcss,S,3,100,1,400,400,400,1,15,1123417.26,2944.524619
lstcss,S,3,100,1,400,400,400,1,16,1123455.8,2051.648196
lstcss,S,3,100,1,400,400,400,1,16,1131257.7,25786.50807
lstcss,S,3,100,1,400,400,400,1,15,1123316.26,2625.082717
lstcss,S,3,100,1,224,224,224,1,6,221016.66,373.8409614
lstcss,S,3,100,1,224,224,224,1,7,222649.5,14614.13108
lstcss,S,3,100,1,224,224,224,1,7,219740.64,1000.532373
lstcss,S,3,100,1,224,224,224,1,7,216929.72,438.831997
lstcss,S,3,100,1,224,224,224,1,7,215833.1,385.8532493
lstcss,S,3,100,1,550,550,550,1,16,3418660.14,97789.77873
lstcss,S,3,100,1,550,550,550,1,20,3411636.26,72139.2961
lstcss,S,3,100,1,550,550,550,1,20,3393970.52,80570.47279
lstcss,S,3,100,1,550,550,550,1,20,3529624.58,3302.263473
lstcss,S,3,100,1,550,550,550,1,20,3347203.7,22586.63232
lstcss,D,3,100,1,64,64,64,1,4,18376.28,251.7567111
lstcss,D,3,100,1,64,64,64,1,6,18322.6,71.61592002
lstcss,D,3,100,1,64,64,64,1,6,18321.06,60.90038095
lstcss,D,3,100,1,64,64,64,1,4,18314.62,67.62984253
lstcss,D,3,100,1,64,64,64,1,6,18379.34,51.40335009
lstcss,D,3,100,1,500,500,500,1,20,3939830.2,415995.31
lstcss,D,3,100,1,500,500,500,1,21,4203063.72,115735.4318
lstcss,D,3,100,1,500,500,500,1,23,3431734.98,178754.5469
lstcss,D,3,100,1,500,500,500,1,22,3512077.68,591912.63
lstcss,D,3,100,1,500,500,500,1,21,4383406.08,27350.23133
lstcss,D,3,100,1,1000,1000,1000,1,57,28447203.56,2295189.125
lstcss,D,3,100,1,1000,1000,1000,1,42,29518743.42,6419651.279
lstcss,D,3,100,1,1000,1000,1000,1,46,30892494.52,6744049.193
lstcss,D,3,100,1,1000,1000,1000,1,39,37042768.76,4849890.289
