algorithm,precision,dims,iterations,s,nx,ny,nz,cores_division,substrate_step,init_time,time,std_dev
lstmfpabni,S,3,100,1,64,64,64,"1,7,16",1,114,4034.08,90.05727955
lstmfpabni,S,3,100,1,64,64,64,"1,7,16",1,113,3972.68,26.45708979
lstmfpabni,S,3,100,1,64,64,64,"1,7,16",1,116,4017.82,30.03976698
lstmfpabni,S,3,100,1,64,64,64,"1,7,16",1,113,4084.7,25.07847683
lstmfpabni,S,3,100,1,64,64,64,"1,7,16",1,115,4014.92,28.1139396
lstmfpabni,S,3,100,1,500,500,500,"1,7,16",1,117,366687.96,4197.201253
lstmfpabni,S,3,100,1,500,500,500,"1,7,16",1,142,365917.88,1239.548912
lstmfpabni,S,3,100,1,500,500,500,"1,7,16",1,140,366071.94,1040.232482
lstmfpabni,S,3,100,1,500,500,500,"1,7,16",1,160,366971,3197.189259
lstmfpabni,S,3,100,1,500,500,500,"1,7,16",1,161,366095.68,1253.941122
lstmfpabni,S,3,100,1,1000,1000,1000,"1,7,16",1,194,5024929.26,216606.8898
lstmfpabni,S,3,100,1,1000,1000,1000,"1,7,16",1,290,5189790.56,230730.2355
lstmfpabni,S,3,100,1,1000,1000,1000,"1,7,16",1,216,5176009.78,165458.3748
lstmfpabni,S,3,100,1,1000,1000,1000,"1,7,16",1,223,4832391.48,224911.7733
lstmfpabni,S,3,100,1,1000,1000,1000,"1,7,16",1,205,4774329.98,102919.0984
lstmfpabni,S,3,100,1,50,50,50,"1,7,16",1,119,3201.36,87.46559552
lstmfpabni,S,3,100,1,50,50,50,"1,7,16",1,124,3181.08,25.32732911
lstmfpabni,S,3,100,1,50,50,50,"1,7,16",1,126,3133.24,24.12431139
lstmfpabni,S,3,100,1,50,50,50,"1,7,16",1,120,3133.8,22.69977973
lstmfpabni,S,3,100,1,50,50,50,"1,7,16",1,113,3193.14,38.90347542
lstmfpabni,S,3,100,1,288,288,288,"1,7,16",1,117,58413.02,1581.253205
lstmfpabni,S,3,100,1,288,288,288,"1,7,16",1,167,58430.32,320.8738344
lstmfpabni,S,3,100,1,288,288,288,"1,7,16",1,116,58499.28,482.1860653
lstmfpabni,S,3,100,1,288,288,288,"1,7,16",1,113,58521.42,326.8197724
lstmfpabni,S,3,100,1,288,288,288,"1,7,16",1,124,58386.78,343.5253871
lstmfpabni,S,3,100,1,192,192,192,"1,7,16",1,108,27441.14,1138.543877
lstmfpabni,S,3,100,1,192,192,192,"1,7,16",1,131,28677.88,1500.610897
lstmfpabni,S,3,100,1,192,192,192,"1,7,16",1,127,29104.9,1379.68362
lstmfpabni,S,3,100,1,192,192,192,"1,7,16",1,149,27952.24,1327.553894
lstmfpabni,S,3,100,1,192,192,192,"1,7,16",1,120,27903.72,1161.710963
lstmfpabni,S,3,100,1,160,160,160,"1,7,16",1,118,19920.92,527.1425553
lstmfpabni,S,3,100,1,160,160,160,"1,7,16",1,127,20668.66,727.1083443
lstmfpabni,S,3,100,1,160,160,160,"1,7,16",1,121,20629.8,775.0193804
lstmfpabni,S,3,100,1,160,160,160,"1,7,16",1,155,20641.08,735.5982284
lstmfpabni,S,3,100,1,160,160,160,"1,7,16",1,148,20629.22,724.2571171
