algorithm,precision,dims,iterations,s,nx,ny,nz,cores_division,substrate_step,init_time,time,std_dev
lstmfpabi,S,3,100,1,64,64,64,"1,7,16",1,117,9847.82,664.9797197
lstmfpabi,S,3,100,1,64,64,64,"1,7,16",1,135,9762.72,38.72417333
lstmfpabi,S,3,100,1,64,64,64,"1,7,16",1,655,9806.56,24.74118833
lstmfpabi,S,3,100,1,64,64,64,"1,7,16",1,102,9547.68,35.92683677
lstmfpabi,S,3,100,1,64,64,64,"1,7,16",1,103,9756.46,36.4330674
lstmfpabi,S,3,100,1,500,500,500,"1,7,16",1,119,912763.78,38684.50755
lstmfpabi,S,3,100,1,500,500,500,"1,7,16",1,136,907520.34,2219.990501
lstmfpabi,S,3,100,1,500,500,500,"1,7,16",1,159,747336.8,130089.2102
lstmfpabi,S,3,100,1,500,500,500,"1,7,16",1,135,862247.16,5018.921989
lstmfpabi,S,3,100,1,500,500,500,"1,7,16",1,152,865003.7,1471.928208
lstmfpabi,S,3,100,1,1000,1000,1000,"1,7,16",1,143,7427067.32,2151091.378
lstmfpabi,S,3,100,1,1000,1000,1000,"1,7,16",1,256,7858221.54,1912283.637
lstmfpabi,S,3,100,1,1000,1000,1000,"1,7,16",1,220,7863241.54,1551016.038
lstmfpabi,S,3,100,1,1000,1000,1000,"1,7,16",1,255,12034770.68,30076.5998
lstmfpabi,S,3,100,1,1000,1000,1000,"1,7,16",1,231,12077695.62,11908.07857
lstmfpabi,S,3,100,1,50,50,50,"1,7,16",1,122,8680.18,491.2341474
lstmfpabi,S,3,100,1,50,50,50,"1,7,16",1,161,8629,68.99217347
lstmfpabi,S,3,100,1,50,50,50,"1,7,16",1,135,8609.28,42.5229538
lstmfpabi,S,3,100,1,50,50,50,"1,7,16",1,146,8672.42,63.87083528
lstmfpabi,S,3,100,1,50,50,50,"1,7,16",1,124,8823.5,59.39368653
lstmfpabi,S,3,100,1,288,288,288,"1,7,16",1,104,152258.74,989.4503082
lstmfpabi,S,3,100,1,288,288,288,"1,7,16",1,111,152722.2,218.3503607
lstmfpabi,S,3,100,1,288,288,288,"1,7,16",1,117,152823.2,302.3956349
lstmfpabi,S,3,100,1,288,288,288,"1,7,16",1,111,152995.16,216.3998484
lstmfpabi,S,3,100,1,288,288,288,"1,7,16",1,108,152736.74,601.7795879
lstmfpabi,S,3,100,1,192,192,192,"1,7,16",1,107,76579.26,916.8881243
lstmfpabi,S,3,100,1,192,192,192,"1,7,16",1,218,75933.46,183.242267
lstmfpabi,S,3,100,1,192,192,192,"1,7,16",1,188,75824.74,107.3779884
lstmfpabi,S,3,100,1,192,192,192,"1,7,16",1,183,76091.32,90.88639942
lstmfpabi,S,3,100,1,192,192,192,"1,7,16",1,209,76021.8,88.32168477
lstmfpabi,S,3,100,1,160,160,160,"1,7,16",1,108,57853.6,859.5985342
lstmfpabi,S,3,100,1,160,160,160,"1,7,16",1,243,58281.9,119.966537
lstmfpabi,S,3,100,1,160,160,160,"1,7,16",1,184,58345.42,109.7003355
lstmfpabi,S,3,100,1,160,160,160,"1,7,16",1,137,58249.92,92.49039734
lstmfpabi,S,3,100,1,160,160,160,"1,7,16",1,582,58371.76,107.5588323
lstmfpabi,S,3,100,1,350,350,350,"1,7,16",1,132,226227.14,265.8306235
lstmfpabi,S,3,100,1,350,350,350,"1,7,16",1,110,226218.56,240.7147823
lstmfpabi,S,3,100,1,350,350,350,"1,7,16",1,110,225271.74,1252.639179
lstmfpabi,S,3,100,1,350,350,350,"1,7,16",1,125,223680.78,252.0160543
lstmfpabi,S,3,100,1,350,350,350,"1,7,16",1,129,224032.58,254.3904157
lstmfpabi,S,3,100,1,96,96,96,"1,7,16",1,106,20845.3,413.8246609
lstmfpabi,S,3,100,1,96,96,96,"1,7,16",1,232,21333.48,285.5708837
lstmfpabi,S,3,100,1,96,96,96,"1,7,16",1,167,21437.24,117.1383046
lstmfpabi,S,3,100,1,96,96,96,"1,7,16",1,182,21324.18,74.92147623
lstmfpabi,S,3,100,1,96,96,96,"1,7,16",1,152,21127.3,76.02874456
lstmfpabi,S,3,100,1,128,128,128,"1,7,16",1,110,35734.52,909.1234512
lstmfpabi,S,3,100,1,128,128,128,"1,7,16",1,775,39364.7,117.6541117
lstmfpabi,S,3,100,1,128,128,128,"1,7,16",1,119,38825.3,107.5254854
lstmfpabi,S,3,100,1,128,128,128,"1,7,16",1,125,38681.42,113.2063761
lstmfpabi,S,3,100,1,128,128,128,"1,7,16",1,142,38965.16,70.64371451
lstmfpabi,S,3,100,1,150,150,150,"1,7,16",1,100,48725.96,1036.734951
lstmfpabi,S,3,100,1,150,150,150,"1,7,16",1,235,49655.8,153.9284249
lstmfpabi,S,3,100,1,150,150,150,"1,7,16",1,179,49622.68,164.8710332
lstmfpabi,S,3,100,1,150,150,150,"1,7,16",1,137,49526.74,370.4108967
lstmfpabi,S,3,100,1,150,150,150,"1,7,16",1,620,49419.54,394.793121
lstmfpabi,S,3,100,1,250,250,250,"1,7,16",1,107,118178.16,174.0152131
lstmfpabi,S,3,100,1,250,250,250,"1,7,16",1,100,117731,88.42895453
lstmfpabi,S,3,100,1,250,250,250,"1,7,16",1,110,117851.96,105.395628
lstmfpabi,S,3,100,1,250,250,250,"1,7,16",1,110,118196.34,90.07454912
lstmfpabi,S,3,100,1,250,250,250,"1,7,16",1,117,118316.8,77.11886929
lstmfpabi,S,3,100,1,300,300,300,"1,7,16",1,127,182704.48,271.0295364
lstmfpabi,S,3,100,1,300,300,300,"1,7,16",1,107,180362.36,2029.738444
lstmfpabi,S,3,100,1,300,300,300,"1,7,16",1,129,178413.46,151.9121075
lstmfpabi,S,3,100,1,300,300,300,"1,7,16",1,117,179156.18,186.795577
lstmfpabi,S,3,100,1,300,300,300,"1,7,16",1,100,179094.58,164.7489108
lstmfpabi,S,3,100,1,600,600,600,"1,7,16",1,114,2255441.52,144482.0501
lstmfpabi,S,3,100,1,600,600,600,"1,7,16",1,237,2237944.74,22482.49013
lstmfpabi,S,3,100,1,600,600,600,"1,7,16",1,258,1667351.58,367827.9863
lstmfpabi,S,3,100,1,600,600,600,"1,7,16",1,247,2013433.64,265098.6809
lstmfpabi,S,3,100,1,600,600,600,"1,7,16",1,274,2188928.3,4999.629175
lstmfpabi,S,3,100,1,800,800,800,"1,7,16",1,139,4420516.02,864438.3098
lstmfpabi,S,3,100,1,800,800,800,"1,7,16",1,282,3876473.56,276662.7015
lstmfpabi,S,3,100,1,800,800,800,"1,7,16",1,191,3820032.78,682798.4924
lstmfpabi,S,3,100,1,800,800,800,"1,7,16",1,262,4785578.06,999583.7339
lstmfpabi,S,3,100,1,800,800,800,"1,7,16",1,211,5803189.68,96487.05555
lstmfpabi,S,3,100,1,200,200,200,"1,7,16",1,108,76008.98,1266.832183
lstmfpabi,S,3,100,1,200,200,200,"1,7,16",1,195,76417.96,235.5300372
lstmfpabi,S,3,100,1,200,200,200,"1,7,16",1,198,76011.44,169.8238099
lstmfpabi,S,3,100,1,200,200,200,"1,7,16",1,193,76249.94,132.6603799
lstmfpabi,S,3,100,1,200,200,200,"1,7,16",1,194,76156.58,124.0301721
lstmfpabi,S,3,100,1,100,100,100,"1,7,16",1,101,25250.06,560.4413407
lstmfpabi,S,3,100,1,100,100,100,"1,7,16",1,163,26347.74,1461.735883
lstmfpabi,S,3,100,1,100,100,100,"1,7,16",1,147,26621.54,1725.209949
lstmfpabi,S,3,100,1,100,100,100,"1,7,16",1,124,26313.48,1631.588199
lstmfpabi,S,3,100,1,100,100,100,"1,7,16",1,142,26303.68,1577.880153
lstmfpabi,S,3,100,1,450,450,450,"1,7,16",1,118,463433.5,3074.874223
lstmfpabi,S,3,100,1,450,450,450,"1,7,16",1,127,466323.88,2326.288311
lstmfpabi,S,3,100,1,450,450,450,"1,7,16",1,148,464772.02,2544.720499
