algorithm,precision,dims,iterations,s,nx,ny,nz,cores_division,substrate_step,init_time,time,std_dev
lstmfpani,S,3,100,1,64,64,64,"1,7,16",1,109,3688.32,382.4115814
lstmfpani,S,3,100,1,64,64,64,"1,7,16",1,183,3662.8,27.09464892
lstmfpani,S,3,100,1,64,64,64,"1,7,16",1,122,3674.42,26.49912451
lstmfpani,S,3,100,1,64,64,64,"1,7,16",1,118,3670.4,28.91850619
lstmfpani,S,3,100,1,64,64,64,"1,7,16",1,132,3641.32,49.47380721
lstmfpani,S,3,100,1,500,500,500,"1,7,16",1,127,466147.5,22083.35738
lstmfpani,S,3,100,1,500,500,500,"1,7,16",1,187,470553.38,28347.07665
lstmfpani,S,3,100,1,500,500,500,"1,7,16",1,191,460766.68,1570.234778
lstmfpani,S,3,100,1,500,500,500,"1,7,16",1,180,467550.74,20952.28962
lstmfpani,S,3,100,1,500,500,500,"1,7,16",1,159,474451.06,21617.75037
lstmfpani,S,3,100,1,1000,1000,1000,"1,7,16",1,153,6904111.58,223702.6539
lstmfpani,S,3,100,1,1000,1000,1000,"1,7,16",1,218,6874341.54,163735.1888
lstmfpani,S,3,100,1,1000,1000,1000,"1,7,16",1,196,6659655.58,91434.39861
lstmfpani,S,3,100,1,1000,1000,1000,"1,7,16",1,191,6717538.72,132080.8569
lstmfpani,S,3,100,1,1000,1000,1000,"1,7,16",1,210,6681929.98,134345.6076
lstmfpani,S,3,100,1,50,50,50,"1,7,16",1,105,3175.24,68.77225022
lstmfpani,S,3,100,1,50,50,50,"1,7,16",1,137,3070.46,19.76077934
lstmfpani,S,3,100,1,50,50,50,"1,7,16",1,116,3081.14,21.88242217
lstmfpani,S,3,100,1,50,50,50,"1,7,16",1,121,3164.96,25.80384467
lstmfpani,S,3,100,1,50,50,50,"1,7,16",1,110,3185.18,23.56496552
lstmfpani,S,3,100,1,288,288,288,"1,7,16",1,113,60177.86,1590.400428
lstmfpani,S,3,100,1,288,288,288,"1,7,16",1,133,60958.04,2932.408914
lstmfpani,S,3,100,1,288,288,288,"1,7,16",1,117,63412.52,5060.704458
lstmfpani,S,3,100,1,288,288,288,"1,7,16",1,124,59881.1,131.3523886
lstmfpani,S,3,100,1,288,288,288,"1,7,16",1,130,59888.34,110.4022844
lstmfpani,S,3,100,1,192,192,192,"1,7,16",1,109,27116.48,1263.587025
lstmfpani,S,3,100,1,192,192,192,"1,7,16",1,121,28976.24,1196.702779
lstmfpani,S,3,100,1,192,192,192,"1,7,16",1,149,27725.96,1550.326494
lstmfpani,S,3,100,1,192,192,192,"1,7,16",1,153,26935.9,924.1652071
lstmfpani,S,3,100,1,192,192,192,"1,7,16",1,137,27123.52,347.468516
lstmfpani,S,3,100,1,160,160,160,"1,7,16",1,122,19373.2,498.1500979
lstmfpani,S,3,100,1,160,160,160,"1,7,16",1,153,20048.78,819.7770255
lstmfpani,S,3,100,1,160,160,160,"1,7,16",1,126,20008.4,864.6971724
lstmfpani,S,3,100,1,160,160,160,"1,7,16",1,131,20003.84,761.7106894
lstmfpani,S,3,100,1,160,160,160,"1,7,16",1,120,19889.14,227.9916674
lstmfpani,S,3,100,1,350,350,350,"1,7,16",1,113,86530.08,1728.489142
lstmfpani,S,3,100,1,350,350,350,"1,7,16",1,147,95957.4,14970.73222
lstmfpani,S,3,100,1,350,350,350,"1,7,16",1,127,86935.52,948.6026827
lstmfpani,S,3,100,1,350,350,350,"1,7,16",1,135,87052.88,375.6510423
lstmfpani,S,3,100,1,350,350,350,"1,7,16",1,133,86895.04,212.2805653
lstmfpani,S,3,100,1,96,96,96,"1,7,16",1,111,6996.82,421.9904117
lstmfpani,S,3,100,1,96,96,96,"1,7,16",1,183,6943.9,53.82610891
lstmfpani,S,3,100,1,96,96,96,"1,7,16",1,115,6955.06,44.01518374
lstmfpani,S,3,100,1,96,96,96,"1,7,16",1,122,7208.5,53.31275645
lstmfpani,S,3,100,1,96,96,96,"1,7,16",1,119,7153.54,52.07425852
lstmfpani,S,3,100,1,128,128,128,"1,7,16",1,126,12583.02,424.9954583
lstmfpani,S,3,100,1,128,128,128,"1,7,16",1,147,12720.52,351.2110613
lstmfpani,S,3,100,1,128,128,128,"1,7,16",1,127,13101.54,467.8738381
lstmfpani,S,3,100,1,128,128,128,"1,7,16",1,140,13065.22,478.5117466
lstmfpani,S,3,100,1,128,128,128,"1,7,16",1,153,12960.78,442.0619997
lstmfpani,S,3,100,1,150,150,150,"1,7,16",1,114,17782.94,468.6336484
lstmfpani,S,3,100,1,150,150,150,"1,7,16",1,117,18334.64,585.1365912
lstmfpani,S,3,100,1,150,150,150,"1,7,16",1,147,18471.86,653.3469219
lstmfpani,S,3,100,1,150,150,150,"1,7,16",1,131,18843.64,948.3883542
lstmfpani,S,3,100,1,150,150,150,"1,7,16",1,129,18413.52,702.3173995
lstmfpani,S,3,100,1,250,250,250,"1,7,16",1,114,45848.78,1305.420718
lstmfpani,S,3,100,1,250,250,250,"1,7,16",1,145,46362.36,350.4656194
lstmfpani,S,3,100,1,250,250,250,"1,7,16",1,140,46360.2,374.710555
lstmfpani,S,3,100,1,250,250,250,"1,7,16",1,125,46342.44,489.8041715
lstmfpani,S,3,100,1,250,250,250,"1,7,16",1,127,46504.56,1119.726344
lstmfpani,S,3,100,1,300,300,300,"1,7,16",1,111,71668.28,1537.586031
lstmfpani,S,3,100,1,300,300,300,"1,7,16",1,138,71522.58,350.5563059
lstmfpani,S,3,100,1,300,300,300,"1,7,16",1,118,71512.76,348.2934717
lstmfpani,S,3,100,1,300,300,300,"1,7,16",1,119,71623.12,305.3388701
lstmfpani,S,3,100,1,300,300,300,"1,7,16",1,114,71431.78,300.0872067
lstmfpani,S,3,100,1,600,600,600,"1,7,16",1,323,1259617.54,97587.95651
lstmfpani,S,3,100,1,600,600,600,"1,7,16",1,174,1252616.18,18378.95765
lstmfpani,S,3,100,1,600,600,600,"1,7,16",1,205,1281906.06,73427.52843
lstmfpani,S,3,100,1,600,600,600,"1,7,16",1,186,1224035.86,22873.40599
lstmfpani,S,3,100,1,600,600,600,"1,7,16",1,193,1215702.1,45103.22429
lstmfpani,S,3,100,1,800,800,800,"1,7,16",1,325,3251228.08,59431.12861
lstmfpani,S,3,100,1,800,800,800,"1,7,16",1,190,3319277.2,205031.2802
lstmfpani,S,3,100,1,800,800,800,"1,7,16",1,284,3197748.88,30067.50275
lstmfpani,S,3,100,1,800,800,800,"1,7,16",1,219,3188933.72,12634.76882
lstmfpani,S,3,100,1,800,800,800,"1,7,16",1,181,3197513.36,60493.90403
lstmfpani,S,3,100,1,200,200,200,"1,7,16",1,112,28629.86,736.5693181
lstmfpani,S,3,100,1,200,200,200,"1,7,16",1,174,29258.38,725.8992186
lstmfpani,S,3,100,1,200,200,200,"1,7,16",1,138,28991.7,660.306179
lstmfpani,S,3,100,1,200,200,200,"1,7,16",1,129,29017.2,640.2260851
lstmfpani,S,3,100,1,200,200,200,"1,7,16",1,150,28795.12,424.916822
lstmfpani,S,3,100,1,100,100,100,"1,7,16",1,110,9240.14,379.8216955
lstmfpani,S,3,100,1,100,100,100,"1,7,16",1,139,9201.72,35.38928651
lstmfpani,S,3,100,1,100,100,100,"1,7,16",1,115,9348.8,88.456543
lstmfpani,S,3,100,1,100,100,100,"1,7,16",1,124,9338.86,67.65057576
lstmfpani,S,3,100,1,100,100,100,"1,7,16",1,123,9408.68,86.59733021
lstmfpani,S,3,100,1,450,450,450,"1,7,16",1,117,202228.58,2555.598616
lstmfpani,S,3,100,1,450,450,450,"1,7,16",1,160,203031.98,796.9814926
lstmfpani,S,3,100,1,450,450,450,"1,7,16",1,152,203446.18,962.2119453
lstmfpani,S,3,100,1,450,450,450,"1,7,16",1,148,204201.52,2078.606969
lstmfpani,S,3,100,1,450,450,450,"1,7,16",1,161,203593.32,1076.512674
lstmfpani,S,3,100,1,256,256,256,"1,7,16",1,108,46949.68,1287.30238
lstmfpani,S,3,100,1,256,256,256,"1,7,16",1,187,47194.58,269.0431259
lstmfpani,S,3,100,1,256,256,256,"1,7,16",1,134,47294.72,250.9807196
lstmfpani,S,3,100,1,256,256,256,"1,7,16",1,124,47199.86,293.5132031
lstmfpani,S,3,100,1,256,256,256,"1,7,16",1,121,47241.32,243.1753639
lstmfpani,S,3,100,1,400,400,400,"1,7,16",1,122,144849.56,24640.58452
lstmfpani,S,3,100,1,400,400,400,"1,7,16",1,221,128359.96,10197.07625
lstmfpani,S,3,100,1,400,400,400,"1,7,16",1,140,129222.36,10405.51436
lstmfpani,S,3,100,1,400,400,400,"1,7,16",1,149,129319.84,10211.26107
lstmfpani,S,3,100,1,400,400,400,"1,7,16",1,193,128877.16,10180.07897
lstmfpani,S,3,100,1,224,224,224,"1,7,16",1,106,38223.32,2833.327404
lstmfpani,S,3,100,1,224,224,224,"1,7,16",1,166,35979.74,2103.148809
lstmfpani,S,3,100,1,224,224,224,"1,7,16",1,141,37239.34,2570.914278
lstmfpani,S,3,100,1,224,224,224,"1,7,16",1,121,34520.12,64.08046192
lstmfpani,S,3,100,1,224,224,224,"1,7,16",1,128,34495.78,89.93581934
lstmfpani,S,3,100,1,550,550,550,"1,7,16",1,141,869265.12,11341.85791
lstmfpani,S,3,100,1,550,550,550,"1,7,16",1,189,866034.7,2317.954005
lstmfpani,S,3,100,1,550,550,550,"1,7,16",1,170,897140.9,41479.59077
lstmfpani,S,3,100,1,550,550,550,"1,7,16",1,210,933176.12,3000.453217
lstmfpani,S,3,100,1,550,550,550,"1,7,16",1,158,899594.54,40755.01771
lstmfpani,S,3,100,1,64,64,64,"1,8,14",1,110,3511.58,319.650252
lstmfpani,S,3,100,1,64,64,64,"1,8,14",1,115,3482.06,21.75445701
lstmfpani,S,3,100,1,64,64,64,"1,8,14",1,113,3367.48,26.995733
lstmfpani,S,3,100,1,64,64,64,"1,8,14",1,114,3457.68,23.84822006
lstmfpani,S,3,100,1,64,64,64,"1,8,14",1,113,3465.78,29.06151407
lstmfpani,S,3,100,1,500,500,500,"1,8,14",1,126,473722.14,24460.88843
lstmfpani,S,3,100,1,500,500,500,"1,8,14",1,195,468475.38,2413.708374
lstmfpani,S,3,100,1,500,500,500,"1,8,14",1,148,468431.88,1548.990583
lstmfpani,S,3,100,1,500,500,500,"1,8,14",1,153,484681.24,12850.21444
lstmfpani,S,3,100,1,500,500,500,"1,8,14",1,248,495805.38,2039.445884
lstmfpani,S,3,100,1,1000,1000,1000,"1,8,14",1,248,6509934.5,112945.2898
lstmfpani,S,3,100,1,1000,1000,1000,"1,8,14",1,200,6733114.52,215299.6818
lstmfpani,S,3,100,1,1000,1000,1000,"1,8,14",1,194,6789702,231967.254
lstmfpani,S,3,100,1,1000,1000,1000,"1,8,14",1,193,6481363.34,94990.16905
lstmfpani,S,3,100,1,1000,1000,1000,"1,8,14",1,218,6461306.6,113423.3919
lstmfpani,S,3,100,1,50,50,50,"1,8,14",1,109,2913.84,82.63034794
lstmfpani,S,3,100,1,50,50,50,"1,8,14",1,117,2901.5,18.27265717
lstmfpani,S,3,100,1,50,50,50,"1,8,14",1,110,2766.98,19.47766927
lstmfpani,S,3,100,1,50,50,50,"1,8,14",1,116,2967.48,24.16877324
lstmfpani,S,3,100,1,50,50,50,"1,8,14",1,116,2956.08,23.14980777
lstmfpani,S,3,100,1,288,288,288,"1,8,14",1,110,57351.62,4793.544279
lstmfpani,S,3,100,1,288,288,288,"1,8,14",1,122,59386.5,5397.242816
lstmfpani,S,3,100,1,288,288,288,"1,8,14",1,131,61468.96,5962.510857
lstmfpani,S,3,100,1,288,288,288,"1,8,14",1,136,55950.46,105.867504
lstmfpani,S,3,100,1,288,288,288,"1,8,14",1,115,55886.34,120.4891049
lstmfpani,S,3,100,1,192,192,192,"1,8,14",1,104,22348.66,588.0623304
lstmfpani,S,3,100,1,192,192,192,"1,8,14",1,123,22722.02,414.4873214
lstmfpani,S,3,100,1,192,192,192,"1,8,14",1,133,22765.52,511.0668152
lstmfpani,S,3,100,1,192,192,192,"1,8,14",1,136,22773.92,511.9232302
lstmfpani,S,3,100,1,192,192,192,"1,8,14",1,131,22777.98,525.0580345
lstmfpani,S,3,100,1,160,160,160,"1,8,14",1,102,15556.18,515.2612421
lstmfpani,S,3,100,1,160,160,160,"1,8,14",1,141,16700.66,549.4565173
lstmfpani,S,3,100,1,160,160,160,"1,8,14",1,119,16672.02,735.8210513
lstmfpani,S,3,100,1,160,160,160,"1,8,14",1,129,15657.64,503.1666428
lstmfpani,S,3,100,1,160,160,160,"1,8,14",1,124,15645.86,488.8632942
lstmfpani,S,3,100,1,350,350,350,"1,8,14",1,128,99408,8638.648072
lstmfpani,S,3,100,1,350,350,350,"1,8,14",1,146,93063.94,221.2738041
lstmfpani,S,3,100,1,350,350,350,"1,8,14",1,129,93722.38,1544.890506
lstmfpani,S,3,100,1,350,350,350,"1,8,14",1,132,93064.82,163.8296298
lstmfpani,S,3,100,1,350,350,350,"1,8,14",1,131,93401.44,255.2998363
lstmfpani,S,3,100,1,96,96,96,"1,8,14",1,114,5745.26,327.4718803
lstmfpani,S,3,100,1,96,96,96,"1,8,14",1,118,5697.26,27.45528
lstmfpani,S,3,100,1,96,96,96,"1,8,14",1,115,5876.06,27.37547077
lstmfpani,S,3,100,1,96,96,96,"1,8,14",1,117,5783.48,29.24328299
lstmfpani,S,3,100,1,96,96,96,"1,8,14",1,113,5762.36,31.17098651
lstmfpani,S,3,100,1,128,128,128,"1,8,14",1,118,10377.96,463.6256231
lstmfpani,S,3,100,1,128,128,128,"1,8,14",1,211,10475.4,43.33035887
lstmfpani,S,3,100,1,128,128,128,"1,8,14",1,116,10406.46,137.9163819
lstmfpani,S,3,100,1,128,128,128,"1,8,14",1,126,10724.1,237.9653126
lstmfpani,S,3,100,1,128,128,128,"1,8,14",1,114,10719.04,329.3653874
lstmfpani,S,3,100,1,150,150,150,"1,8,14",1,110,15239.94,462.9561711
lstmfpani,S,3,100,1,150,150,150,"1,8,14",1,162,15272.28,545.3062274
lstmfpani,S,3,100,1,150,150,150,"1,8,14",1,121,16123.28,591.8778942
lstmfpani,S,3,100,1,150,150,150,"1,8,14",1,117,15941.58,593.608224
lstmfpani,S,3,100,1,150,150,150,"1,8,14",1,145,15960.7,591.0116158
lstmfpani,S,3,100,1,250,250,250,"1,8,14",1,107,46448.54,1115.08809
lstmfpani,S,3,100,1,250,250,250,"1,8,14",1,123,47735.76,2832.19218
lstmfpani,S,3,100,1,250,250,250,"1,8,14",1,119,46186.1,116.3699704
lstmfpani,S,3,100,1,250,250,250,"1,8,14",1,120,46254.14,124.0915807
lstmfpani,S,3,100,1,250,250,250,"1,8,14",1,125,46136.2,128.7372518
lstmfpani,S,3,100,1,300,300,300,"1,8,14",1,113,66720.02,1537.471125
lstmfpani,S,3,100,1,300,300,300,"1,8,14",1,118,66402.2,567.6427398
lstmfpani,S,3,100,1,300,300,300,"1,8,14",1,118,66144.74,86.92912285
lstmfpani,S,3,100,1,300,300,300,"1,8,14",1,124,66136.48,112.8975181
lstmfpani,S,3,100,1,300,300,300,"1,8,14",1,118,66169.36,106.149472
lstmfpani,S,3,100,1,600,600,600,"1,8,14",1,121,1211712.14,42160.52401
lstmfpani,S,3,100,1,600,600,600,"1,8,14",1,185,1203332.34,6627.084417
lstmfpani,S,3,100,1,600,600,600,"1,8,14",1,208,1238203,13100.65922
lstmfpani,S,3,100,1,600,600,600,"1,8,14",1,177,1275781.68,64062.45357
lstmfpani,S,3,100,1,600,600,600,"1,8,14",1,169,1303717.76,9689.630919
lstmfpani,S,3,100,1,800,800,800,"1,8,14",1,125,3325707.1,112252.8406
lstmfpani,S,3,100,1,800,800,800,"1,8,14",1,259,3458071.64,230026.9352
lstmfpani,S,3,100,1,800,800,800,"1,8,14",1,207,3757945.26,350575.0223
lstmfpani,S,3,100,1,800,800,800,"1,8,14",1,206,3178104.8,22342.41432
lstmfpani,S,3,100,1,800,800,800,"1,8,14",1,188,3243837.46,130699.1862
lstmfpani,S,3,100,1,200,200,200,"1,8,14",1,104,26580.26,668.8283131
lstmfpani,S,3,100,1,200,200,200,"1,8,14",1,129,26894.74,99.60056426
lstmfpani,S,3,100,1,200,200,200,"1,8,14",1,127,26804.86,122.3967336
lstmfpani,S,3,100,1,200,200,200,"1,8,14",1,121,27056.62,108.7111567
lstmfpani,S,3,100,1,200,200,200,"1,8,14",1,121,26923.32,119.837797
lstmfpani,S,3,100,1,100,100,100,"1,8,14",1,110,7424.54,392.3909892
lstmfpani,S,3,100,1,100,100,100,"1,8,14",1,206,7405.4,38.13607216
lstmfpani,S,3,100,1,100,100,100,"1,8,14",1,112,7378.94,34.72313926
lstmfpani,S,3,100,1,100,100,100,"1,8,14",1,115,7421.64,136.0659781
lstmfpani,S,3,100,1,100,100,100,"1,8,14",1,120,7514.2,44.17646432
lstmfpani,S,3,100,1,450,450,450,"1,8,14",1,115,232153.76,33659.60193
lstmfpani,S,3,100,1,450,450,450,"1,8,14",1,197,207193.64,13631.83114
lstmfpani,S,3,100,1,450,450,450,"1,8,14",1,155,203883.56,885.5752065
lstmfpani,S,3,100,1,450,450,450,"1,8,14",1,175,204126.92,977.929033
lstmfpani,S,3,100,1,450,450,450,"1,8,14",1,161,204800.88,2089.419935
lstmfpani,S,3,100,1,256,256,256,"1,8,14",1,102,43794.56,1837.246354
lstmfpani,S,3,100,1,256,256,256,"1,8,14",1,157,44603.22,1763.275274
lstmfpani,S,3,100,1,256,256,256,"1,8,14",1,149,44351.54,1430.988892
lstmfpani,S,3,100,1,256,256,256,"1,8,14",1,126,44519.5,1731.176042
lstmfpani,S,3,100,1,256,256,256,"1,8,14",1,172,49030.64,4504.798445
lstmfpani,S,3,100,1,400,400,400,"1,8,14",1,121,132871.44,18105.535
lstmfpani,S,3,100,1,400,400,400,"1,8,14",1,226,126321.82,8586.461582
lstmfpani,S,3,100,1,400,400,400,"1,8,14",1,146,125419.34,7164.194709
lstmfpani,S,3,100,1,400,400,400,"1,8,14",1,163,125775.98,7699.181898
lstmfpani,S,3,100,1,400,400,400,"1,8,14",1,210,126064.22,8250.683105
lstmfpani,S,3,100,1,224,224,224,"1,8,14",1,102,38775.5,1221.177567
lstmfpani,S,3,100,1,224,224,224,"1,8,14",1,116,36277.78,501.0713837
lstmfpani,S,3,100,1,224,224,224,"1,8,14",1,124,34064.3,2257.582134
lstmfpani,S,3,100,1,224,224,224,"1,8,14",1,118,31629.38,66.74335622
lstmfpani,S,3,100,1,224,224,224,"1,8,14",1,128,31656.04,148.7521375
lstmfpani,S,3,100,1,550,550,550,"1,8,14",1,129,846543.52,72965.44719
lstmfpani,S,3,100,1,550,550,550,"1,8,14",1,179,844281.72,30400.79616
lstmfpani,S,3,100,1,550,550,550,"1,8,14",1,187,855398.32,1994.774137
lstmfpani,S,3,100,1,550,550,550,"1,8,14",1,154,881862.24,42963.25804
lstmfpani,S,3,100,1,550,550,550,"1,8,14",1,215,884065.14,2455.543028
lstmfpani,S,3,100,1,64,64,64,"1,2,56",1,111,5473.2,89.53256391
lstmfpani,S,3,100,1,64,64,64,"1,2,56",1,121,5151.72,31.8301995
lstmfpani,S,3,100,1,64,64,64,"1,2,56",1,115,5070.86,41.36279004
lstmfpani,S,3,100,1,64,64,64,"1,2,56",1,113,5333.76,27.91527181
lstmfpani,S,3,100,1,64,64,64,"1,2,56",1,126,5249.46,36.31099558
lstmfpani,S,3,100,1,500,500,500,"1,2,56",1,126,434279.88,2682.381305
