algorithm,precision,dims,iterations,s,nx,ny,nz,cores_division,substrate_step,init_time,time,std_dev
lstmfpai,S,3,100,1,64,64,64,"1,7,16",1,106,9424.38,662.0626825
lstmfpai,S,3,100,1,64,64,64,"1,7,16",1,176,9352.44,41.66349001
lstmfpai,S,3,100,1,64,64,64,"1,7,16",1,669,9340.06,34.72717092
lstmfpai,S,3,100,1,64,64,64,"1,7,16",1,104,8855.48,29.4511392
lstmfpai,S,3,100,1,64,64,64,"1,7,16",1,107,9383.92,48.0453286
lstmfpai,S,3,100,1,500,500,500,"1,7,16",1,121,1187558.92,4381.081578
lstmfpai,S,3,100,1,500,500,500,"1,7,16",1,137,1137995.58,120669.9468
lstmfpai,S,3,100,1,500,500,500,"1,7,16",1,248,1096332.06,7596.083495
lstmfpai,S,3,100,1,500,500,500,"1,7,16",1,130,1099223.22,16497.12807
lstmfpai,S,3,100,1,500,500,500,"1,7,16",1,136,921137.18,168092.8287
lstmfpai,S,3,100,1,1000,1000,1000,"1,7,16",1,156,10879013.86,2622046.171
lstmfpai,S,3,100,1,1000,1000,1000,"1,7,16",1,229,13096135.24,2334589.029
lstmfpai,S,3,100,1,1000,1000,1000,"1,7,16",1,220,15714174.56,1102908.363
lstmfpai,S,3,100,1,1000,1000,1000,"1,7,16",1,242,17143436.18,65691.01677
lstmfpai,S,3,100,1,1000,1000,1000,"1,7,16",1,212,17161198.26,21101.30555
lstmfpai,S,3,100,1,50,50,50,"1,7,16",1,108,8369.52,482.5769261
lstmfpai,S,3,100,1,50,50,50,"1,7,16",1,127,8342.54,47.12460504
lstmfpai,S,3,100,1,50,50,50,"1,7,16",1,126,8282,68.26214178
lstmfpai,S,3,100,1,50,50,50,"1,7,16",1,200,8311.24,43.74176951
lstmfpai,S,3,100,1,50,50,50,"1,7,16",1,131,8276.26,41.62538168
lstmfpai,S,3,100,1,288,288,288,"1,7,16",1,115,145879.32,1115.044043
lstmfpai,S,3,100,1,288,288,288,"1,7,16",1,119,147088.84,510.0650296
lstmfpai,S,3,100,1,288,288,288,"1,7,16",1,117,147045.28,237.0845453
lstmfpai,S,3,100,1,288,288,288,"1,7,16",1,122,147373.62,242.2962559
lstmfpai,S,3,100,1,288,288,288,"1,7,16",1,118,146791.54,237.7150572
lstmfpai,S,3,100,1,192,192,192,"1,7,16",1,112,62286.42,933.4183219
lstmfpai,S,3,100,1,192,192,192,"1,7,16",1,170,62958.48,108.2401478
lstmfpai,S,3,100,1,192,192,192,"1,7,16",1,137,63104.02,121.0595705
lstmfpai,S,3,100,1,192,192,192,"1,7,16",1,546,63119.1,95.34531976
lstmfpai,S,3,100,1,192,192,192,"1,7,16",1,168,62972.66,106.379436
lstmfpai,S,3,100,1,160,160,160,"1,7,16",1,104,49460.26,1075.126296
lstmfpai,S,3,100,1,160,160,160,"1,7,16",1,289,50236.64,132.8749427
lstmfpai,S,3,100,1,160,160,160,"1,7,16",1,124,49876.46,249.9451308
lstmfpai,S,3,100,1,160,160,160,"1,7,16",1,756,49944.12,90.52196198
lstmfpai,S,3,100,1,160,160,160,"1,7,16",1,161,49681.54,117.9818986
lstmfpai,S,3,100,1,350,350,350,"1,7,16",1,113,183011.08,353.6726645
lstmfpai,S,3,100,1,350,350,350,"1,7,16",1,112,182807.34,253.7339244
lstmfpai,S,3,100,1,350,350,350,"1,7,16",1,114,182885.46,289.7357562
lstmfpai,S,3,100,1,350,350,350,"1,7,16",1,110,183645.8,1579.620727
lstmfpai,S,3,100,1,350,350,350,"1,7,16",1,128,182769.1,239.8309613
lstmfpai,S,3,100,1,96,96,96,"1,7,16",1,104,18561.38,548.6824907
lstmfpai,S,3,100,1,96,96,96,"1,7,16",1,175,18473.9,125.9778155
lstmfpai,S,3,100,1,96,96,96,"1,7,16",1,150,18795.76,77.19392722
lstmfpai,S,3,100,1,96,96,96,"1,7,16",1,129,18740.78,54.17759315
lstmfpai,S,3,100,1,96,96,96,"1,7,16",1,155,18799.14,146.375819
lstmfpai,S,3,100,1,128,128,128,"1,7,16",1,105,31219.9,611.0198769
lstmfpai,S,3,100,1,128,128,128,"1,7,16",1,182,31902.96,87.66686033
lstmfpai,S,3,100,1,128,128,128,"1,7,16",1,193,31921.64,77.43533044
lstmfpai,S,3,100,1,128,128,128,"1,7,16",1,147,31882.58,118.687841
lstmfpai,S,3,100,1,128,128,128,"1,7,16",1,686,31785.6,82.4293637
lstmfpai,S,3,100,1,150,150,150,"1,7,16",1,107,44943.76,937.80191
lstmfpai,S,3,100,1,150,150,150,"1,7,16",1,247,45874.52,125.457282
lstmfpai,S,3,100,1,150,150,150,"1,7,16",1,220,45572.72,202.2995838
lstmfpai,S,3,100,1,150,150,150,"1,7,16",1,130,45333.86,118.2062621
lstmfpai,S,3,100,1,150,150,150,"1,7,16",1,124,45270.94,84.44368775
lstmfpai,S,3,100,1,250,250,250,"1,7,16",1,108,116223.08,357.0355635
lstmfpai,S,3,100,1,250,250,250,"1,7,16",1,101,116050.8,129.6177457
lstmfpai,S,3,100,1,250,250,250,"1,7,16",1,105,115930.06,154.0096633
lstmfpai,S,3,100,1,250,250,250,"1,7,16",1,103,115870.74,117.1905815
lstmfpai,S,3,100,1,250,250,250,"1,7,16",1,106,115884.9,116.1769771
lstmfpai,S,3,100,1,300,300,300,"1,7,16",1,122,167079.32,815.8762269
lstmfpai,S,3,100,1,300,300,300,"1,7,16",1,106,166852.3,185.263623
