algorithm,precision,dims,iterations,s,nx,ny,nz,substrate_step,init_time,time,std_dev
lstmfppai,S,3,100,1,64,64,64,1,105,4871.6,763.6253008
lstmfppai,S,3,100,1,64,64,64,1,145,4787.16,41.40162316
lstmfppai,S,3,100,1,64,64,64,1,109,4886.58,49.60527794
lstmfppai,S,3,100,1,64,64,64,1,110,4832,57.33480618
lstmfppai,S,3,100,1,64,64,64,1,776,4869.04,51.92801171
lstmfppai,S,3,100,1,500,500,500,1,108,936100.3,3069.992627
lstmfppai,S,3,100,1,500,500,500,1,123,942039.48,46682.09757
lstmfppai,S,3,100,1,500,500,500,1,116,855792.92,73743.12102
lstmfppai,S,3,100,1,500,500,500,1,119,915226.92,3374.70315
lstmfppai,S,3,100,1,500,500,500,1,140,909459.76,3566.745764
lstmfppai,S,3,100,1,1000,1000,1000,1,266,9589243.72,1942615.625
lstmfppai,S,3,100,1,1000,1000,1000,1,135,11243391.98,2606050.806
lstmfppai,S,3,100,1,1000,1000,1000,1,156,9977985.96,3195051.83
lstmfppai,S,3,100,1,1000,1000,1000,1,149,15544894.84,319244.6162
lstmfppai,S,3,100,1,1000,1000,1000,1,138,15548225.04,271968.3377
lstmfppai,S,3,100,1,50,50,50,1,111,2545.24,361.2842958
lstmfppai,S,3,100,1,50,50,50,1,176,2473.9,27.99303485
lstmfppai,S,3,100,1,50,50,50,1,129,2516.24,41.73802104
lstmfppai,S,3,100,1,50,50,50,1,122,2481.52,34.82656457
lstmfppai,S,3,100,1,50,50,50,1,112,2496.88,35.25032766
lstmfppai,S,3,100,1,288,288,288,1,97,109854.16,4232.403163
lstmfppai,S,3,100,1,288,288,288,1,98,109202.8,265.6292906
lstmfppai,S,3,100,1,288,288,288,1,124,108980.22,302.939353
lstmfppai,S,3,100,1,288,288,288,1,103,109285.86,239.6833753
lstmfppai,S,3,100,1,288,288,288,1,103,109022.7,303.2139344
lstmfppai,S,3,100,1,192,192,192,1,108,29083.12,1112.093389
lstmfppai,S,3,100,1,192,192,192,1,867,29249.56,79.6583103
lstmfppai,S,3,100,1,192,192,192,1,114,29249.6,73.95485109
lstmfppai,S,3,100,1,192,192,192,1,108,32020.44,1924.57847
lstmfppai,S,3,100,1,192,192,192,1,100,31950.16,2854.316565
lstmfppai,S,3,100,1,160,160,160,1,100,19936.92,798.3679813
lstmfppai,S,3,100,1,160,160,160,1,143,19888.82,96.96487818
lstmfppai,S,3,100,1,160,160,160,1,134,20028.24,86.04128311
lstmfppai,S,3,100,1,160,160,160,1,143,20080.34,52.68495421
lstmfppai,S,3,100,1,160,160,160,1,120,20130.38,45.04126552
lstmfppai,S,3,100,1,350,350,350,1,108,190240.58,387.7784981
lstmfppai,S,3,100,1,350,350,350,1,99,190831.02,287.1613129
lstmfppai,S,3,100,1,350,350,350,1,101,190105.12,237.8465589
lstmfppai,S,3,100,1,350,350,350,1,103,190899.14,256.1313733
lstmfppai,S,3,100,1,350,350,350,1,101,190654,589.7318713
lstmfppai,S,3,100,1,96,96,96,1,100,5692.04,425.3411318
lstmfppai,S,3,100,1,96,96,96,1,182,5623.92,19.8018585
lstmfppai,S,3,100,1,96,96,96,1,115,5603.16,43.62126087
lstmfppai,S,3,100,1,96,96,96,1,127,5589.18,22.99190292
lstmfppai,S,3,100,1,96,96,96,1,122,5597.62,22.78147493
lstmfppai,S,3,100,1,128,128,128,1,105,14450.52,444.0865789
lstmfppai,S,3,100,1,128,128,128,1,110,14363.98,45.05928983
lstmfppai,S,3,100,1,128,128,128,1,99,14334.8,47.93996245
lstmfppai,S,3,100,1,128,128,128,1,744,14336.1,42.09714955
lstmfppai,S,3,100,1,128,128,128,1,100,14342.38,43.49983448
lstmfppai,S,3,100,1,150,150,150,1,95,19021.04,652.901584
lstmfppai,S,3,100,1,150,150,150,1,156,18940,35.86753407
lstmfppai,S,3,100,1,150,150,150,1,121,19081.76,50.62748661
lstmfppai,S,3,100,1,150,150,150,1,141,19006.1,34.6365414
lstmfppai,S,3,100,1,150,150,150,1,142,19101.64,31.85891398
lstmfppai,S,3,100,1,250,250,250,1,96,81337.78,209.5948749
lstmfppai,S,3,100,1,250,250,250,1,96,81222.76,116.3638363
lstmfppai,S,3,100,1,250,250,250,1,97,81975,716.7316095
lstmfppai,S,3,100,1,250,250,250,1,100,81957.04,159.2627967
lstmfppai,S,3,100,1,250,250,250,1,109,81200.84,119.4447755
lstmfppai,S,3,100,1,300,300,300,1,111,120151.42,483.2347707
lstmfppai,S,3,100,1,300,300,300,1,109,120532.88,4375.544129
lstmfppai,S,3,100,1,300,300,300,1,106,119564.84,571.8558336
lstmfppai,S,3,100,1,300,300,300,1,101,118909.54,250.2916067
lstmfppai,S,3,100,1,300,300,300,1,103,119439.06,219.6010392
lstmfppai,S,3,100,1,600,600,600,1,109,1991974.34,282448.4892
lstmfppai,S,3,100,1,600,600,600,1,121,2116752.62,51979.36934
lstmfppai,S,3,100,1,600,600,600,1,132,2148551.46,47942.69831
lstmfppai,S,3,100,1,600,600,600,1,130,1904794.7,280624.589
lstmfppai,S,3,100,1,600,600,600,1,125,2146290.2,3687.363231
lstmfppai,S,3,100,1,800,800,800,1,115,5042193.82,1122724.334
lstmfppai,S,3,100,1,800,800,800,1,142,6066597.84,1366083.934
lstmfppai,S,3,100,1,800,800,800,1,140,7208316.24,548672.8429
lstmfppai,S,3,100,1,800,800,800,1,164,6769600.16,850022.3935
lstmfppai,S,3,100,1,800,800,800,1,155,7054144.82,342751.6525
lstmfppai,S,3,100,1,200,200,200,1,104,39901.48,597.2965173
lstmfppai,S,3,100,1,200,200,200,1,174,39929.08,93.64867111
lstmfppai,S,3,100,1,200,200,200,1,141,39993.56,47.82641948
lstmfppai,S,3,100,1,200,200,200,1,143,40046.62,232.2430529
lstmfppai,S,3,100,1,200,200,200,1,140,39957.5,66.60427914
lstmfppai,S,3,100,1,100,100,100,1,99,8533.92,459.3941593
lstmfppai,S,3,100,1,100,100,100,1,122,8469.86,41.02390035
lstmfppai,S,3,100,1,100,100,100,1,94,8451.34,40.84145443
lstmfppai,S,3,100,1,100,100,100,1,108,8428.86,41.77080799
lstmfppai,S,3,100,1,100,100,100,1,759,8431.04,45.11361657
lstmfppai,S,3,100,1,450,450,450,1,112,425615.74,16049.55356
lstmfppai,S,3,100,1,450,450,450,1,113,419917.7,654.656345
lstmfppai,S,3,100,1,450,450,450,1,117,415621.02,8819.399303
lstmfppai,S,3,100,1,450,450,450,1,113,419849.92,640.6449825
lstmfppai,S,3,100,1,450,450,450,1,120,420244.12,1862.847204
lstmfppai,S,3,100,1,256,256,256,1,94,104267.96,346.961667
lstmfppai,S,3,100,1,256,256,256,1,112,104129.7,185.830272
lstmfppai,S,3,100,1,256,256,256,1,111,104738.06,184.3120625
lstmfppai,S,3,100,1,256,256,256,1,95,104156.02,461.1158418
lstmfppai,S,3,100,1,256,256,256,1,99,104401.34,345.4462395
lstmfppai,S,3,100,1,400,400,400,1,123,272088.5,976.7709302
lstmfppai,S,3,100,1,400,400,400,1,109,273571.22,365.7803871
lstmfppai,S,3,100,1,400,400,400,1,108,272575.14,358.4564135
lstmfppai,S,3,100,1,400,400,400,1,108,273694.42,498.4680567
lstmfppai,S,3,100,1,400,400,400,1,112,272560.26,340.3335899
lstmfppai,S,3,100,1,224,224,224,1,104,54267.26,410.9697707
lstmfppai,S,3,100,1,224,224,224,1,98,54708.96,179.0204413
