algorithm,precision,dims,iterations,s,nx,ny,nz,substrate_step,x_tile_size,init_time,time,std_dev
lstcsta,S,3,100,1,64,64,64,1,10000,2,6817.2,302.3946428
lstcsta,S,3,100,1,64,64,64,1,10000,4,6820.62,38.39681758
lstcsta,S,3,100,1,64,64,64,1,10000,4,6814.22,37.83822935
lstcsta,S,3,100,1,64,64,64,1,10000,4,6765.12,46.28634356
lstcsta,S,3,100,1,64,64,64,1,10000,3,6749.18,33.88432676
lstcsta,S,3,100,1,500,500,500,1,10000,18,1522645.8,50477.01312
lstcsta,S,3,100,1,500,500,500,1,10000,20,1339299.4,137126.1169
lstcsta,S,3,100,1,500,500,500,1,10000,20,1522045.68,17765.00802
lstcsta,S,3,100,1,500,500,500,1,10000,19,1429701.44,25605.31967
lstcsta,S,3,100,1,500,500,500,1,10000,19,1529562.66,13414.96833
lstcsta,S,3,100,1,1000,1000,1000,1,10000,94,14834497.64,2412862.518
lstcsta,S,3,100,1,1000,1000,1000,1,10000,37,19505312.46,4034365.178
lstcsta,S,3,100,1,1000,1000,1000,1,10000,39,23277537.74,71417.21358
lstcsta,S,3,100,1,1000,1000,1000,1,10000,38,23256874.18,81273.65984
lstcsta,S,3,100,1,1000,1000,1000,1,10000,35,20877740.38,4028066.337
lstcsta,S,3,100,1,50,50,50,1,10000,2,4361.04,166.6746483
lstcsta,S,3,100,1,50,50,50,1,10000,4,4294.12,20.79965384
lstcsta,S,3,100,1,50,50,50,1,10000,2,4200.8,27.95210189
lstcsta,S,3,100,1,50,50,50,1,10000,4,4182.18,19.51377975
lstcsta,S,3,100,1,50,50,50,1,10000,2,4201.76,19.99555951
lstcsta,S,3,100,1,288,288,288,1,10000,9,213501.88,4497.57864
lstcsta,S,3,100,1,288,288,288,1,10000,13,210774.98,532.6184184
lstcsta,S,3,100,1,288,288,288,1,10000,12,211760.88,448.6757689
lstcsta,S,3,100,1,288,288,288,1,10000,12,210727.6,417.128853
lstcsta,S,3,100,1,288,288,288,1,10000,14,211844.64,361.4163118
lstcsta,S,3,100,1,192,192,192,1,10000,6,74400.02,1260.39328
lstcsta,S,3,100,1,192,192,192,1,10000,8,73567,106.6592706
lstcsta,S,3,100,1,192,192,192,1,10000,9,73593.88,237.356242
lstcsta,S,3,100,1,192,192,192,1,10000,7,73588.88,113.7157227
lstcsta,S,3,100,1,192,192,192,1,10000,7,73611.38,187.7680367
lstcsta,S,3,100,1,160,160,160,1,10000,5,49481.84,357.5266905
lstcsta,S,3,100,1,160,160,160,1,10000,6,49424.48,176.3984399
lstcsta,S,3,100,1,160,160,160,1,10000,8,49425.66,131.9673611
lstcsta,S,3,100,1,160,160,160,1,10000,6,49395.56,124.6680649
lstcsta,S,3,100,1,160,160,160,1,10000,9,49395,119.8016694
lstcsta,S,3,100,1,350,350,350,1,10000,32,374082.42,4192.759903
lstcsta,S,3,100,1,350,350,350,1,10000,15,372453.52,443.5268758
lstcsta,S,3,100,1,350,350,350,1,10000,14,372400.7,523.7131371
lstcsta,S,3,100,1,350,350,350,1,10000,15,372713.12,800.1192821
lstcsta,S,3,100,1,350,350,350,1,10000,14,372409.6,594.960234
lstcsta,S,3,100,1,96,96,96,1,10000,4,15065.7,178.138289
lstcsta,S,3,100,1,96,96,96,1,10000,4,15013.4,43.85612842
lstcsta,S,3,100,1,96,96,96,1,10000,4,15050.96,61.24768077
lstcsta,S,3,100,1,96,96,96,1,10000,4,15003.34,46.33642628
lstcsta,S,3,100,1,96,96,96,1,10000,4,15043.2,52.93883263
lstcsta,S,3,100,1,128,128,128,1,10000,5,27042.2,356.4779937
lstcsta,S,3,100,1,128,128,128,1,10000,5,26904.2,91.47961522
lstcsta,S,3,100,1,128,128,128,1,10000,5,27060.88,86.16951665
lstcsta,S,3,100,1,128,128,128,1,10000,5,26980.58,125.0911811
lstcsta,S,3,100,1,128,128,128,1,10000,5,27082.8,80.15984032
lstcsta,S,3,100,1,150,150,150,1,10000,5,41280.62,257.3209583
lstcsta,S,3,100,1,150,150,150,1,10000,7,41221.9,188.3196485
lstcsta,S,3,100,1,150,150,150,1,10000,5,41208.06,107.9517318
lstcsta,S,3,100,1,150,150,150,1,10000,6,41256.54,174.1840647
lstcsta,S,3,100,1,150,150,150,1,10000,7,41250.66,127.2925151
lstcsta,S,3,100,1,250,250,250,1,10000,8,143859.46,3209.737199
lstcsta,S,3,100,1,250,250,250,1,10000,11,142787.52,317.3025206
lstcsta,S,3,100,1,250,250,250,1,10000,10,142522.4,339.5960542
lstcsta,S,3,100,1,250,250,250,1,10000,10,142829.42,738.9125548
lstcsta,S,3,100,1,250,250,250,1,10000,12,142905.44,371.2349208
lstcsta,S,3,100,1,300,300,300,1,10000,10,241427.7,350.5807325
lstcsta,S,3,100,1,300,300,300,1,10000,12,241862.62,343.8149438
lstcsta,S,3,100,1,300,300,300,1,10000,11,241860.52,496.5297268
lstcsta,S,3,100,1,300,300,300,1,10000,12,241786.44,620.0041664
lstcsta,S,3,100,1,300,300,300,1,10000,12,241013.44,400.9100727
lstcsta,S,3,100,1,600,600,600,1,10000,20,2844296.38,575608.8037
lstcsta,S,3,100,1,600,600,600,1,10000,26,3089944.42,135922.5401
lstcsta,S,3,100,1,600,600,600,1,10000,24,2407039.2,552882.9527
lstcsta,S,3,100,1,600,600,600,1,10000,23,3476214.64,2942.272997
lstcsta,S,3,100,1,600,600,600,1,10000,25,3479517.44,20291.66436
lstcsta,S,3,100,1,800,800,800,1,10000,25,6722841.54,1326180.26
lstcsta,S,3,100,1,800,800,800,1,10000,35,8494303.66,1935622.375
lstcsta,S,3,100,1,800,800,800,1,10000,41,10108218.74,779191.0853
lstcsta,S,3,100,1,800,800,800,1,10000,35,10362306.26,174519.6762
lstcsta,S,3,100,1,800,800,800,1,10000,29,10307265.2,203966.8231
lstcsta,S,3,100,1,200,200,200,1,10000,6,76296.86,380.6693058
lstcsta,S,3,100,1,200,200,200,1,10000,10,77961.24,1422.984027
lstcsta,S,3,100,1,200,200,200,1,10000,10,76356.64,157.6583344
lstcsta,S,3,100,1,200,200,200,1,10000,9,76352.84,294.4875114
lstcsta,S,3,100,1,200,200,200,1,10000,8,77432.32,2182.466288
lstcsta,S,3,100,1,100,100,100,1,10000,3,14339.12,304.9945993
lstcsta,S,3,100,1,100,100,100,1,10000,4,14295.66,41.0295552
lstcsta,S,3,100,1,100,100,100,1,10000,4,14313.74,73.45741896
lstcsta,S,3,100,1,100,100,100,1,10000,4,14294.58,33.09748631
lstcsta,S,3,100,1,100,100,100,1,10000,4,14287.86,21.64810384
lstcsta,S,3,100,1,450,450,450,1,10000,16,680725.88,7724.101226
lstcsta,S,3,100,1,450,450,450,1,10000,18,658267.52,29373.11924
lstcsta,S,3,100,1,450,450,450,1,10000,18,643129.46,2463.831343
lstcsta,S,3,100,1,450,450,450,1,10000,19,644162.5,835.3242544
lstcsta,S,3,100,1,450,450,450,1,10000,19,644154.8,2061.164156
lstcsta,S,3,100,1,256,256,256,1,10000,8,160243.9,3349.041763
lstcsta,S,3,100,1,256,256,256,1,10000,10,158585.76,455.1221181
lstcsta,S,3,100,1,256,256,256,1,10000,10,158588.22,755.7212261
lstcsta,S,3,100,1,256,256,256,1,10000,11,160907.74,3830.185498
lstcsta,S,3,100,1,256,256,256,1,10000,11,158232.96,2515.804332
lstcsta,S,3,100,1,400,400,400,1,10000,14,517199.2,9719.972056
lstcsta,S,3,100,1,400,400,400,1,10000,17,512122.82,631.7467749
lstcsta,S,3,100,1,400,400,400,1,10000,17,513025.5,564.6706031
lstcsta,S,3,100,1,400,400,400,1,10000,17,515798.9,6295.030384
