algorithm,precision,dims,iterations,s,nx,ny,nz,substrate_step,x_tile_size,init_time,time,std_dev
lstcstai,S,3,100,1,64,64,64,1,10000,2,6456.02,684.5244916
lstcstai,S,3,100,1,64,64,64,1,10000,5,6342.66,29.70360921
lstcstai,S,3,100,1,64,64,64,1,10000,5,6332.3,48.33518387
lstcstai,S,3,100,1,64,64,64,1,10000,4,6321.08,38.70857269
lstcstai,S,3,100,1,64,64,64,1,10000,6,6298.58,25.19451528
lstcstai,S,3,100,1,500,500,500,1,10000,17,1485059.5,34037.63316
lstcstai,S,3,100,1,500,500,500,1,10000,20,1254031.96,253573.5399
lstcstai,S,3,100,1,500,500,500,1,10000,19,1442297.74,3551.145639
lstcstai,S,3,100,1,500,500,500,1,10000,20,1330578.76,121149.2633
lstcstai,S,3,100,1,500,500,500,1,10000,20,1430156.02,5386.463313
lstcstai,S,3,100,1,1000,1000,1000,1,10000,101,15686282.32,1718220.869
lstcstai,S,3,100,1,1000,1000,1000,1,10000,42,22967201.34,115415.7116
lstcstai,S,3,100,1,1000,1000,1000,1,10000,50,20180057.34,3533639.746
lstcstai,S,3,100,1,1000,1000,1000,1,10000,41,23206808.84,87264.54379
lstcstai,S,3,100,1,1000,1000,1000,1,10000,52,16871703.8,3465646.314
lstcstai,S,3,100,1,50,50,50,1,10000,1,4073.06,428.6479866
lstcstai,S,3,100,1,50,50,50,1,10000,6,3991.42,17.41274246
lstcstai,S,3,100,1,50,50,50,1,10000,3,3994.58,15.1935381
lstcstai,S,3,100,1,50,50,50,1,10000,2,3993.76,17.42935455
lstcstai,S,3,100,1,50,50,50,1,10000,3,3995.02,17.88909165
lstcstai,S,3,100,1,288,288,288,1,10000,9,157800.4,4256.0296
lstcstai,S,3,100,1,288,288,288,1,10000,12,156676.6,601.9017196
lstcstai,S,3,100,1,288,288,288,1,10000,13,158121.46,4876.439821
lstcstai,S,3,100,1,288,288,288,1,10000,12,155365.1,247.389349
lstcstai,S,3,100,1,288,288,288,1,10000,11,155170.16,345.013296
lstcstai,S,3,100,1,192,192,192,1,10000,6,52442.62,721.5777128
lstcstai,S,3,100,1,192,192,192,1,10000,9,53725.36,595.7020316
lstcstai,S,3,100,1,192,192,192,1,10000,12,53858.42,165.288486
lstcstai,S,3,100,1,192,192,192,1,10000,8,53913.24,221.2112619
lstcstai,S,3,100,1,192,192,192,1,10000,7,54004.52,550.3357244
lstcstai,S,3,100,1,160,160,160,1,10000,5,42123.64,2105.926036
lstcstai,S,3,100,1,160,160,160,1,10000,8,42197.94,451.2543589
lstcstai,S,3,100,1,160,160,160,1,10000,8,41105.96,145.4774154
lstcstai,S,3,100,1,160,160,160,1,10000,7,41057.34,133.5109898
lstcstai,S,3,100,1,160,160,160,1,10000,7,41053.88,92.99454608
lstcstai,S,3,100,1,350,350,350,1,10000,12,284001.46,577.6183588
lstcstai,S,3,100,1,350,350,350,1,10000,14,284685.66,350.2783813
lstcstai,S,3,100,1,350,350,350,1,10000,14,283231.08,598.2458973
lstcstai,S,3,100,1,350,350,350,1,10000,16,282177.28,3270.14615
lstcstai,S,3,100,1,350,350,350,1,10000,15,280708.18,461.4865411
lstcstai,S,3,100,1,96,96,96,1,10000,3,13611.84,1133.60567
lstcstai,S,3,100,1,96,96,96,1,10000,5,13419.52,49.5545114
lstcstai,S,3,100,1,96,96,96,1,10000,7,13438.96,51.60114727
lstcstai,S,3,100,1,96,96,96,1,10000,5,13414.28,50.45950456
lstcstai,S,3,100,1,96,96,96,1,10000,4,13408.52,34.05950088
lstcstai,S,3,100,1,128,128,128,1,10000,4,26539.7,816.5236126
lstcstai,S,3,100,1,128,128,128,1,10000,5,26398.5,61.53381184
lstcstai,S,3,100,1,128,128,128,1,10000,9,26362.02,70.54204137
lstcstai,S,3,100,1,128,128,128,1,10000,6,26406.12,60.39954967
lstcstai,S,3,100,1,128,128,128,1,10000,5,26425.62,61.10020949
lstcstai,S,3,100,1,150,150,150,1,10000,5,33447.5,702.1787878
lstcstai,S,3,100,1,150,150,150,1,10000,8,32661.52,126.6641607
lstcstai,S,3,100,1,150,150,150,1,10000,7,32619.92,137.0018744
lstcstai,S,3,100,1,150,150,150,1,10000,11,32684.2,145.6041208
lstcstai,S,3,100,1,150,150,150,1,10000,6,33037.08,253.8237845
lstcstai,S,3,100,1,250,250,250,1,10000,8,113557.76,517.1552788
lstcstai,S,3,100,1,250,250,250,1,10000,11,115578.04,1069.851297
lstcstai,S,3,100,1,250,250,250,1,10000,19,114859.58,347.2237947
lstcstai,S,3,100,1,250,250,250,1,10000,11,114788.04,178.0062875
lstcstai,S,3,100,1,250,250,250,1,10000,10,114746.82,196.6295695
lstcstai,S,3,100,1,300,300,300,1,10000,9,185803.24,303.7966135
lstcstai,S,3,100,1,300,300,300,1,10000,12,187352.12,507.8734346
lstcstai,S,3,100,1,300,300,300,1,10000,13,182411.96,3149.401575
lstcstai,S,3,100,1,300,300,300,1,10000,13,180497.22,3497.834532
lstcstai,S,3,100,1,300,300,300,1,10000,13,181238.02,247.4184706
lstcstai,S,3,100,1,600,600,600,1,10000,20,2933932.04,565101.675
lstcstai,S,3,100,1,600,600,600,1,10000,24,2882008.64,442389.4813
lstcstai,S,3,100,1,600,600,600,1,10000,23,2326840.16,657611.7208
lstcstai,S,3,100,1,600,600,600,1,10000,24,2695981.54,283315.0372
lstcstai,S,3,100,1,600,600,600,1,10000,25,2673898.94,405249.2628
lstcstai,S,3,100,1,800,800,800,1,10000,26,7290120.66,1186193.003
lstcstai,S,3,100,1,800,800,800,1,10000,31,6448871.02,1373175.68
lstcstai,S,3,100,1,800,800,800,1,10000,29,8405002.86,1723618.11
lstcstai,S,3,100,1,800,800,800,1,10000,30,10256479.68,298586.8664
lstcstai,S,3,100,1,800,800,800,1,10000,29,8740471.48,186348.573
lstcstai,S,3,100,1,200,200,200,1,10000,7,66643.46,913.2079546
lstcstai,S,3,100,1,200,200,200,1,10000,8,66531.8,147.1289231
lstcstai,S,3,100,1,200,200,200,1,10000,8,66481.28,189.6480994
lstcstai,S,3,100,1,200,200,200,1,10000,8,66481.26,124.4472274
lstcstai,S,3,100,1,200,200,200,1,10000,8,66565.52,249.9607361
lstcstai,S,3,100,1,100,100,100,1,10000,3,12725.28,652.2184002
lstcstai,S,3,100,1,100,100,100,1,10000,5,12612.34,40.65494312
lstcstai,S,3,100,1,100,100,100,1,10000,5,12608.12,39.02442312
lstcstai,S,3,100,1,100,100,100,1,10000,4,12612.82,39.44499461
lstcstai,S,3,100,1,100,100,100,1,10000,8,12608.58,33.77163899
lstcstai,S,3,100,1,450,450,450,1,10000,16,532510.2,1105.097118
lstcstai,S,3,100,1,450,450,450,1,10000,17,536138.46,1911.376281
lstcstai,S,3,100,1,450,450,450,1,10000,18,532012.4,608.3270831
lstcstai,S,3,100,1,450,450,450,1,10000,18,538425.12,8996.866883
lstcstai,S,3,100,1,450,450,450,1,10000,21,435507.46,42634.69313
lstcstai,S,3,100,1,256,256,256,1,10000,8,125386.72,674.0335315
lstcstai,S,3,100,1,256,256,256,1,10000,11,124725.38,185.578974
lstcstai,S,3,100,1,256,256,256,1,10000,11,125497.2,169.1973995
lstcstai,S,3,100,1,256,256,256,1,10000,12,124754.68,335.0855079
lstcstai,S,3,100,1,256,256,256,1,10000,12,124936.92,177.2913805
lstcstai,S,3,100,1,400,400,400,1,10000,14,400047.26,10143.19833
lstcstai,S,3,100,1,400,400,400,1,10000,18,395218.9,472.9706651
lstcstai,S,3,100,1,400,400,400,1,10000,16,385892.66,22229.94403
lstcstai,S,3,100,1,400,400,400,1,10000,18,387351.16,1386.098963
lstcstai,S,3,100,1,400,400,400,1,10000,19,386054.34,530.8514146
lstcstai,S,3,100,1,224,224,224,1,10000,7,65209.54,448.1322666
lstcstai,S,3,100,1,224,224,224,1,10000,8,65356.36,162.7188692
lstcstai,S,3,100,1,224,224,224,1,10000,10,65574.46,293.4696039
lstcstai,S,3,100,1,224,224,224,1,10000,9,65826.82,130.8447462
lstcstai,S,3,100,1,224,224,224,1,10000,10,65577.38,167.762438
lstcstai,S,3,100,1,550,550,550,1,10000,19,1875057.56,449196.7852
lstcstai,S,3,100,1,550,550,550,1,10000,23,2179594.74,98533.88067
lstcstai,S,3,100,1,550,550,550,1,10000,23,2126604.76,179587.1234
lstcstai,S,3,100,1,550,550,550,1,10000,25,2227334.22,4899.363731
lstcstai,S,3,100,1,550,550,550,1,10000,23,1498270.54,502511.016
lstcstai,S,3,100,1,64,64,64,1,16,2,6369.68,576.5770526
