algorithm,precision,dims,iterations,s,nx,ny,nz,empty,init_time,time,std_dev
lstcs,S,3,100,1,64,64,64,1,2,9668.02,770.8628799
lstcs,S,3,100,1,64,64,64,1,3,9482.98,53.46269353
lstcs,S,3,100,1,64,64,64,1,3,9500.94,46.8731949
lstcs,S,3,100,1,64,64,64,1,3,9434.76,39.77213095
lstcs,S,3,100,1,64,64,64,1,3,9445.3,46.38156962
lstcs,S,3,100,1,500,500,500,1,16,2712176.42,1470394.063
lstcs,S,3,100,1,500,500,500,1,24,2277970.6,1192840.851
lstcs,S,3,100,1,500,500,500,1,23,2585638.22,1378979.118
lstcs,S,3,100,1,500,500,500,1,23,4417074.06,80808.08323
lstcs,S,3,100,1,500,500,500,1,23,4356268.46,142923.1188
lstcs,S,3,100,1,1000,1000,1000,1,112,13160251.38,2457310.906
lstcs,S,3,100,1,1000,1000,1000,1,45,16002616,7276872.389
lstcs,S,3,100,1,1000,1000,1000,1,42,13829711.18,3736202.651
lstcs,S,3,100,1,1000,1000,1000,1,45,18962980.86,5284014.675
lstcs,S,3,100,1,1000,1000,1000,1,38,21703600.08,6554353.065
lstcs,S,3,100,1,50,50,50,1,1,6783.28,236.925899
lstcs,S,3,100,1,50,50,50,1,3,6744,28.55591007
lstcs,S,3,100,1,50,50,50,1,2,6759.32,30.13532147
lstcs,S,3,100,1,50,50,50,1,2,6760.82,37.92186177
lstcs,S,3,100,1,50,50,50,1,2,6761.02,32.82772609
lstcs,S,3,100,1,288,288,288,1,9,746301.3,11656.58418
lstcs,S,3,100,1,288,288,288,1,12,765327.72,9003.154318
lstcs,S,3,100,1,288,288,288,1,12,723714.88,89895.76851
lstcs,S,3,100,1,288,288,288,1,15,765639.08,10548.0228
lstcs,S,3,100,1,288,288,288,1,14,788024.34,8407.902641
lstcs,S,3,100,1,192,192,192,1,6,138263.62,1608.370429
lstcs,S,3,100,1,192,192,192,1,7,137584.94,579.2673445
lstcs,S,3,100,1,192,192,192,1,7,138557.12,2368.431849
lstcs,S,3,100,1,192,192,192,1,7,139778.22,2083.679796
lstcs,S,3,100,1,192,192,192,1,7,141543.92,1759.524582
lstcs,S,3,100,1,160,160,160,1,4,106073.56,4932.143827
lstcs,S,3,100,1,160,160,160,1,7,103192.54,187.6632313
lstcs,S,3,100,1,160,160,160,1,7,103201.66,324.2821987
lstcs,S,3,100,1,160,160,160,1,7,103128.9,175.7482575
lstcs,S,3,100,1,160,160,160,1,6,103314.52,330.6200381
lstcs,S,3,100,1,350,350,350,1,11,1575749.44,31619.57761
lstcs,S,3,100,1,350,350,350,1,16,930971.52,522617.2408
lstcs,S,3,100,1,350,350,350,1,15,1558003.36,29747.49799
lstcs,S,3,100,1,350,350,350,1,17,1305018.68,444383.6566
lstcs,S,3,100,1,350,350,350,1,16,1535405.82,51176.267
lstcs,S,3,100,1,96,96,96,1,3,18358.68,685.5531034
lstcs,S,3,100,1,96,96,96,1,4,18494.46,127.5392034
lstcs,S,3,100,1,96,96,96,1,4,18658.7,186.6297136
lstcs,S,3,100,1,96,96,96,1,4,18669.68,75.6892172
lstcs,S,3,100,1,96,96,96,1,4,18699.06,84.08814661
lstcs,S,3,100,1,128,128,128,1,4,47878.32,1139.688421
lstcs,S,3,100,1,128,128,128,1,7,47547.32,294.0088733
lstcs,S,3,100,1,128,128,128,1,7,47600.54,175.2988545
lstcs,S,3,100,1,128,128,128,1,6,47656.76,130.6150925
lstcs,S,3,100,1,128,128,128,1,7,47662.2,95.07344529
lstcs,S,3,100,1,150,150,150,1,4,58403.74,3012.826691
lstcs,S,3,100,1,150,150,150,1,6,56988.1,96.07065109
lstcs,S,3,100,1,150,150,150,1,6,57037.5,290.275197
lstcs,S,3,100,1,150,150,150,1,7,56994.32,96.6000911
lstcs,S,3,100,1,150,150,150,1,5,57261.14,132.3560365
lstcs,S,3,100,1,250,250,250,1,8,510383.68,6297.683391
