algorithm,precision,dims,iterations,s,nx,ny,nz,empty,init_time,time,std_dev
lstcss,S,3,100,1,64,64,64,1,2,19782.2,782.025396
lstcss,S,3,100,1,64,64,64,1,4,19942.8,101.0726471
lstcss,S,3,100,1,64,64,64,1,2,19994.08,223.6536465
lstcss,S,3,100,1,64,64,64,1,4,20047.96,193.4142663
lstcss,S,3,100,1,64,64,64,1,3,19089.64,281.9992738
lstcss,S,3,100,1,500,500,500,1,15,4581237.36,1763765.305
lstcss,S,3,100,1,500,500,500,1,22,4529815.14,1302253.028
lstcss,S,3,100,1,500,500,500,1,22,3731033.64,1452571.865
lstcss,S,3,100,1,500,500,500,1,23,4809391.2,721010.3859
lstcss,S,3,100,1,500,500,500,1,23,5628534.06,671231.3191
lstcss,S,3,100,1,1000,1000,1000,1,43,26737437.38,5734683.238
lstcss,S,3,100,1,1000,1000,1000,1,44,34992201.96,20118819.22
lstcss,S,3,100,1,1000,1000,1000,1,39,42112836.18,4522902.088
lstcss,S,3,100,1,1000,1000,1000,1,39,43674714.52,9081643.823
lstcss,S,3,100,1,1000,1000,1000,1,37,47879674.76,11335661.67
lstcss,S,3,100,1,50,50,50,1,1,14203.18,477.6678633
lstcss,S,3,100,1,50,50,50,1,2,14166.26,131.556955
lstcss,S,3,100,1,50,50,50,1,2,14115.22,108.0542993
lstcss,S,3,100,1,50,50,50,1,2,14131.14,125.4779678
lstcss,S,3,100,1,50,50,50,1,2,14091.26,107.0507936
lstcss,S,3,100,1,288,288,288,1,10,1087381.08,13618.04115
lstcss,S,3,100,1,288,288,288,1,13,1047487.42,10997.81272
lstcss,S,3,100,1,288,288,288,1,15,609493.3,122458.3948
lstcss,S,3,100,1,288,288,288,1,16,1034898.24,18324.13817
lstcss,S,3,100,1,288,288,288,1,15,976269.06,12846.36401
lstcss,S,3,100,1,192,192,192,1,6,258571.86,6429.832741
lstcss,S,3,100,1,192,192,192,1,8,257367.7,216.8576722
lstcss,S,3,100,1,192,192,192,1,7,261309.16,7597.285687
lstcss,S,3,100,1,192,192,192,1,8,259927.6,304.7382483
lstcss,S,3,100,1,192,192,192,1,7,260135.28,331.0803552
lstcss,S,3,100,1,160,160,160,1,5,102749.58,3739.617879
lstcss,S,3,100,1,160,160,160,1,7,101901.94,251.0658408
lstcss,S,3,100,1,160,160,160,1,6,102295.6,282.9190697
lstcss,S,3,100,1,160,160,160,1,7,102585.78,156.7833269
lstcss,S,3,100,1,160,160,160,1,7,102137.26,221.5692045
lstcss,S,3,100,1,350,350,350,1,11,1595575.88,14539.29648
lstcss,S,3,100,1,350,350,350,1,16,1418408.68,181382.359
lstcss,S,3,100,1,350,350,350,1,19,1613200.96,19134.18563
lstcss,S,3,100,1,350,350,350,1,20,1392599.38,117759.3845
lstcss,S,3,100,1,350,350,350,1,18,1580322.72,15795.72114
lstcss,S,3,100,1,96,96,96,1,3,52528.68,371.2238376
lstcss,S,3,100,1,96,96,96,1,5,52527.86,202.8839087
lstcss,S,3,100,1,96,96,96,1,5,52223.56,497.0014954
lstcss,S,3,100,1,96,96,96,1,4,51769.02,218.340055
lstcss,S,3,100,1,96,96,96,1,4,51592.86,204.7956064
lstcss,S,3,100,1,128,128,128,1,4,148639.28,3084.484969
lstcss,S,3,100,1,128,128,128,1,5,147320.72,910.0389671
lstcss,S,3,100,1,128,128,128,1,5,147071.14,140.0031443
lstcss,S,3,100,1,128,128,128,1,5,146981.12,130.5901436
lstcss,S,3,100,1,128,128,128,1,5,146798.92,144.7512128
lstcss,S,3,100,1,150,150,150,1,5,100726.34,2735.196743
lstcss,S,3,100,1,150,150,150,1,9,100581.72,1207.409409
lstcss,S,3,100,1,150,150,150,1,6,100090.54,210.0833368
lstcss,S,3,100,1,150,150,150,1,6,100380.42,566.6126045
