algorithm,precision,dims,iterations,s,nx,ny,nz,cores_division,substrate_step,init_time,time,std_dev
lstmfpabni,S,3,100,1,64,64,64,"1,7,16",1,110,4528.72,530.3440408
lstmfpabni,S,3,100,1,64,64,64,"1,7,16",1,262,4420.56,20.30779161
lstmfpabni,S,3,100,1,64,64,64,"1,7,16",1,136,4472.74,37.63233184
lstmfpabni,S,3,100,1,64,64,64,"1,7,16",1,123,4531.72,26.23969512
lstmfpabni,S,3,100,1,64,64,64,"1,7,16",1,125,4437.76,41.32048402
lstmfpabni,S,3,100,1,500,500,500,"1,7,16",1,127,394236.72,35317.5983
lstmfpabni,S,3,100,1,500,500,500,"1,7,16",1,305,385649.42,40867.48232
lstmfpabni,S,3,100,1,500,500,500,"1,7,16",1,162,432283.3,33794.66705
lstmfpabni,S,3,100,1,500,500,500,"1,7,16",1,148,420242.3,1789.556451
lstmfpabni,S,3,100,1,500,500,500,"1,7,16",1,159,470510.06,26494.91762
lstmfpabni,S,3,100,1,1000,1000,1000,"1,7,16",1,211,3262863.52,654729.7112
lstmfpabni,S,3,100,1,1000,1000,1000,"1,7,16",1,497,3102176,533008.0841
lstmfpabni,S,3,100,1,1000,1000,1000,"1,7,16",1,8535,4604995,1049191.115
lstmfpabni,S,3,100,1,1000,1000,1000,"1,7,16",1,297,3190812.78,184774.5075
lstmfpabni,S,3,100,1,1000,1000,1000,"1,7,16",1,316,3501003.26,605426.6077
lstmfpabni,S,3,100,1,50,50,50,"1,7,16",1,111,3546.08,151.6043324
lstmfpabni,S,3,100,1,50,50,50,"1,7,16",1,203,3522.3,45.04719747
lstmfpabni,S,3,100,1,50,50,50,"1,7,16",1,123,3413.98,33.01483909
lstmfpabni,S,3,100,1,50,50,50,"1,7,16",1,120,3530.38,25.28390002
lstmfpabni,S,3,100,1,50,50,50,"1,7,16",1,127,3551.64,24.00563267
lstmfpabni,S,3,100,1,288,288,288,"1,7,16",1,107,67023.14,2228.216192
lstmfpabni,S,3,100,1,288,288,288,"1,7,16",1,165,65541.98,6716.064275
lstmfpabni,S,3,100,1,288,288,288,"1,7,16",1,141,62050.66,2085.234093
lstmfpabni,S,3,100,1,288,288,288,"1,7,16",1,156,62216.18,2256.755314
lstmfpabni,S,3,100,1,288,288,288,"1,7,16",1,156,61959.18,2234.626812
lstmfpabni,S,3,100,1,192,192,192,"1,7,16",1,122,27551.2,1436.912329
lstmfpabni,S,3,100,1,192,192,192,"1,7,16",1,143,27776.76,872.2131061
lstmfpabni,S,3,100,1,192,192,192,"1,7,16",1,125,27862.86,923.3597568
lstmfpabni,S,3,100,1,192,192,192,"1,7,16",1,132,28814.7,1341.245723
lstmfpabni,S,3,100,1,192,192,192,"1,7,16",1,139,29829.98,695.3868417
lstmfpabni,S,3,100,1,160,160,160,"1,7,16",1,117,20607.42,763.3440925
lstmfpabni,S,3,100,1,160,160,160,"1,7,16",1,341,21947.26,777.3556923
lstmfpabni,S,3,100,1,160,160,160,"1,7,16",1,137,20908.6,817.391583
lstmfpabni,S,3,100,1,160,160,160,"1,7,16",1,129,20943.28,784.2837252
lstmfpabni,S,3,100,1,160,160,160,"1,7,16",1,121,21593.36,878.0352786
lstmfpabni,S,3,100,1,350,350,350,"1,7,16",1,122,101796.28,3966.046339
lstmfpabni,S,3,100,1,350,350,350,"1,7,16",1,179,100951.6,4237.307881
lstmfpabni,S,3,100,1,350,350,350,"1,7,16",1,155,100309.36,4043.035764
lstmfpabni,S,3,100,1,350,350,350,"1,7,16",1,143,100215.06,4146.594089
lstmfpabni,S,3,100,1,350,350,350,"1,7,16",1,142,100620.78,4214.985747
lstmfpabni,S,3,100,1,96,96,96,"1,7,16",1,106,8448.08,536.4567397
lstmfpabni,S,3,100,1,96,96,96,"1,7,16",1,260,8451.64,46.25743616
lstmfpabni,S,3,100,1,96,96,96,"1,7,16",1,117,8549.8,120.8585951
lstmfpabni,S,3,100,1,96,96,96,"1,7,16",1,128,8785.26,284.0454055
lstmfpabni,S,3,100,1,96,96,96,"1,7,16",1,117,8783.58,275.042476
lstmfpabni,S,3,100,1,128,128,128,"1,7,16",1,119,13269.86,429.3319466
