algorithm,precision,dims,iterations,s,nx,ny,nz,cores_division,substrate_step,init_time,time,std_dev
lstmfpabi,S,3,100,1,64,64,64,"1,7,16",1,105,9241.82,943.0316578
lstmfpabi,S,3,100,1,64,64,64,"1,7,16",1,248,9105.36,33.14197339
lstmfpabi,S,3,100,1,64,64,64,"1,7,16",1,160,9148.96,60.72889263
lstmfpabi,S,3,100,1,64,64,64,"1,7,16",1,156,9065.84,20.68657536
lstmfpabi,S,3,100,1,64,64,64,"1,7,16",1,160,9123.02,73.03163424
lstmfpabi,S,3,100,1,500,500,500,"1,7,16",1,125,2147244.56,1532415.791
lstmfpabi,S,3,100,1,500,500,500,"1,7,16",1,217,1634113.6,1173942.417
lstmfpabi,S,3,100,1,500,500,500,"1,7,16",1,345,1165156.76,918951.5013
lstmfpabi,S,3,100,1,500,500,500,"1,7,16",1,290,1699518.98,1269885.341
lstmfpabi,S,3,100,1,500,500,500,"1,7,16",1,317,3221725.5,1824248.081
lstmfpabi,S,3,100,1,1000,1000,1000,"1,7,16",1,201,8131019.72,4408925.272
lstmfpabi,S,3,100,1,1000,1000,1000,"1,7,16",1,373,23720643.58,5045183.418
lstmfpabi,S,3,100,1,1000,1000,1000,"1,7,16",1,318,32230762.76,2484225.783
lstmfpabi,S,3,100,1,1000,1000,1000,"1,7,16",1,312,27286360.76,4852576.657
lstmfpabi,S,3,100,1,1000,1000,1000,"1,7,16",1,345,32386707.38,5951528.757
lstmfpabi,S,3,100,1,50,50,50,"1,7,16",1,113,7923.52,744.0179363
lstmfpabi,S,3,100,1,50,50,50,"1,7,16",1,237,7829.86,27.0347998
lstmfpabi,S,3,100,1,50,50,50,"1,7,16",1,155,7785.68,37.75205425
lstmfpabi,S,3,100,1,50,50,50,"1,7,16",1,157,8668.98,50.85960676
lstmfpabi,S,3,100,1,50,50,50,"1,7,16",1,176,7799.58,44.06136176
lstmfpabi,S,3,100,1,288,288,288,"1,7,16",1,157,858538.14,8075.698251
lstmfpabi,S,3,100,1,288,288,288,"1,7,16",1,147,853043.26,5048.801865
lstmfpabi,S,3,100,1,288,288,288,"1,7,16",1,149,558878.92,333508.7369
lstmfpabi,S,3,100,1,288,288,288,"1,7,16",1,158,827721.06,2432.625597
lstmfpabi,S,3,100,1,288,288,288,"1,7,16",1,296,825665.64,2679.150035
lstmfpabi,S,3,100,1,192,192,192,"1,7,16",1,108,68452.4,1690.33773
lstmfpabi,S,3,100,1,192,192,192,"1,7,16",1,372,69312.24,294.4204178
lstmfpabi,S,3,100,1,192,192,192,"1,7,16",1,251,69251.6,263.5942336
lstmfpabi,S,3,100,1,192,192,192,"1,7,16",1,200,69252.32,256.0506544
lstmfpabi,S,3,100,1,192,192,192,"1,7,16",1,255,69339.34,245.5036953
lstmfpabi,S,3,100,1,160,160,160,"1,7,16",1,149,54372.22,1593.832429
lstmfpabi,S,3,100,1,160,160,160,"1,7,16",1,355,54865.42,186.5491989
lstmfpabi,S,3,100,1,160,160,160,"1,7,16",1,206,54961.64,154.9888719
lstmfpabi,S,3,100,1,160,160,160,"1,7,16",1,137,54901.78,158.318071
lstmfpabi,S,3,100,1,160,160,160,"1,7,16",1,912,54951.42,155.3290816
lstmfpabi,S,3,100,1,350,350,350,"1,7,16",1,106,1736543.88,32484.04919
lstmfpabi,S,3,100,1,350,350,350,"1,7,16",1,131,753510.26,580159.1042
lstmfpabi,S,3,100,1,350,350,350,"1,7,16",1,364,1626429.02,22057.84242
lstmfpabi,S,3,100,1,350,350,350,"1,7,16",1,134,1263856,558527.2585
lstmfpabi,S,3,100,1,350,350,350,"1,7,16",1,264,1582597,10005.02472
lstmfpabi,S,3,100,1,96,96,96,"1,7,16",1,100,19812.14,767.208264
lstmfpabi,S,3,100,1,96,96,96,"1,7,16",1,243,19887.66,284.699393
lstmfpabi,S,3,100,1,96,96,96,"1,7,16",1,217,20241.8,73.34793794
lstmfpabi,S,3,100,1,96,96,96,"1,7,16",1,184,20286.86,102.1868896
lstmfpabi,S,3,100,1,96,96,96,"1,7,16",1,161,20273.2,62.93552256
lstmfpabi,S,3,100,1,128,128,128,"1,7,16",1,113,36328.88,800.3314723
lstmfpabi,S,3,100,1,128,128,128,"1,7,16",1,295,41205.24,118.101746
lstmfpabi,S,3,100,1,128,128,128,"1,7,16",1,191,41128.8,128.1502243
lstmfpabi,S,3,100,1,128,128,128,"1,7,16",1,202,37221.94,80.25868427
lstmfpabi,S,3,100,1,128,128,128,"1,7,16",1,213,41146.32,84.19131547
lstmfpabi,S,3,100,1,150,150,150,"1,7,16",1,109,56155.92,1620.984193
lstmfpabi,S,3,100,1,150,150,150,"1,7,16",1,296,56969.98,197.3475604
lstmfpabi,S,3,100,1,150,150,150,"1,7,16",1,326,56887.4,171.4993878
lstmfpabi,S,3,100,1,150,150,150,"1,7,16",1,278,56823.46,136.1649309
lstmfpabi,S,3,100,1,150,150,150,"1,7,16",1,199,56769.9,119.8067193
lstmfpabi,S,3,100,1,250,250,250,"1,7,16",1,122,561194.78,5851.196795
lstmfpabi,S,3,100,1,250,250,250,"1,7,16",1,121,562093.94,4853.157716
lstmfpabi,S,3,100,1,250,250,250,"1,7,16",1,128,561776.88,808.1284957
lstmfpabi,S,3,100,1,250,250,250,"1,7,16",1,171,520689.86,121678.6341
lstmfpabi,S,3,100,1,250,250,250,"1,7,16",1,125,564363.26,3859.202611
lstmfpabi,S,3,100,1,300,300,300,"1,7,16",1,261,1007586.28,10305.16739
lstmfpabi,S,3,100,1,300,300,300,"1,7,16",1,126,1015302.24,7189.173893
lstmfpabi,S,3,100,1,300,300,300,"1,7,16",1,127,462686.78,252773.3884
lstmfpabi,S,3,100,1,300,300,300,"1,7,16",1,164,1021327.24,3641.449764
lstmfpabi,S,3,100,1,300,300,300,"1,7,16",1,285,1018146.44,5964.678144
lstmfpabi,S,3,100,1,600,600,600,"1,7,16",1,133,2910346.38,2178850.62
lstmfpabi,S,3,100,1,600,600,600,"1,7,16",1,372,1851588.42,1746055.95
lstmfpabi,S,3,100,1,600,600,600,"1,7,16",1,328,2760058.06,988930.5444
lstmfpabi,S,3,100,1,600,600,600,"1,7,16",1,365,3758441.22,2520570.61
lstmfpabi,S,3,100,1,600,600,600,"1,7,16",1,286,7455748.16,854597.9365
lstmfpabi,S,3,100,1,800,800,800,"1,7,16",1,472,4601131.4,2918461.381
lstmfpabi,S,3,100,1,800,800,800,"1,7,16",1,346,5062634.94,3975417.056
lstmfpabi,S,3,100,1,800,800,800,"1,7,16",1,299,9803510.74,2817821.67
lstmfpabi,S,3,100,1,800,800,800,"1,7,16",1,393,12953612.02,3268360.225
