algorithm,precision,dims,iterations,s,nx,ny,nz,cores_division,substrate_step,init_time,time,std_dev
lstmfpani,S,3,100,1,64,64,64,"1,7,16",1,106,4123.98,151.456197
lstmfpani,S,3,100,1,64,64,64,"1,7,16",1,229,4111.68,28.72590469
lstmfpani,S,3,100,1,64,64,64,"1,7,16",1,130,4181.34,22.30659992
lstmfpani,S,3,100,1,64,64,64,"1,7,16",1,116,4128.46,17.48165896
lstmfpani,S,3,100,1,64,64,64,"1,7,16",1,131,4101.96,30.97932214
lstmfpani,S,3,100,1,500,500,500,"1,7,16",1,132,416224.74,17894.02037
lstmfpani,S,3,100,1,500,500,500,"1,7,16",1,248,445276.84,31163.69873
lstmfpani,S,3,100,1,500,500,500,"1,7,16",1,182,431903.42,26168.28789
lstmfpani,S,3,100,1,500,500,500,"1,7,16",1,175,460171.48,43585.50639
lstmfpani,S,3,100,1,500,500,500,"1,7,16",1,251,468439.96,21551.7625
lstmfpani,S,3,100,1,1000,1000,1000,"1,7,16",1,241,3769679.3,602082.2954
lstmfpani,S,3,100,1,1000,1000,1000,"1,7,16",1,294,4013859.08,686886.9555
lstmfpani,S,3,100,1,1000,1000,1000,"1,7,16",1,370,4138040.58,665624.9141
lstmfpani,S,3,100,1,1000,1000,1000,"1,7,16",1,301,2964485.34,525754.9233
lstmfpani,S,3,100,1,1000,1000,1000,"1,7,16",1,357,4802227.72,395335.5337
lstmfpani,S,3,100,1,50,50,50,"1,7,16",1,110,3587.56,61.09211406
lstmfpani,S,3,100,1,50,50,50,"1,7,16",1,261,3557.12,23.39712803
lstmfpani,S,3,100,1,50,50,50,"1,7,16",1,115,3536.4,16.59638515
lstmfpani,S,3,100,1,50,50,50,"1,7,16",1,129,3566.4,39.41421064
lstmfpani,S,3,100,1,50,50,50,"1,7,16",1,117,3461.96,15.79108609
lstmfpani,S,3,100,1,288,288,288,"1,7,16",1,111,78441.86,2157.070616
lstmfpani,S,3,100,1,288,288,288,"1,7,16",1,172,70198.42,2668.705365
