algorithm,precision,dims,iterations,s,nx,ny,nz,cores_division,substrate_step,init_time,time,std_dev
lstmfpai,S,3,100,1,64,64,64,"1,7,16",1,114,8357.08,624.2470293
lstmfpai,S,3,100,1,64,64,64,"1,7,16",1,242,8191.6,27.3064095
lstmfpai,S,3,100,1,64,64,64,"1,7,16",1,1211,8246.78,35.81189188
lstmfpai,S,3,100,1,64,64,64,"1,7,16",1,153,8583.82,27.14898893
lstmfpai,S,3,100,1,64,64,64,"1,7,16",1,129,8288.72,63.19684802
lstmfpai,S,3,100,1,500,500,500,"1,7,16",1,163,2535386.14,1942086.446
lstmfpai,S,3,100,1,500,500,500,"1,7,16",1,287,1825835.94,1564238.089
lstmfpai,S,3,100,1,500,500,500,"1,7,16",1,372,2281823.96,1548689.526
lstmfpai,S,3,100,1,500,500,500,"1,7,16",1,436,2754226.3,1883610.734
lstmfpai,S,3,100,1,500,500,500,"1,7,16",1,262,4420016.48,1496245.368
lstmfpai,S,3,100,1,1000,1000,1000,"1,7,16",1,334,9311116.62,3970664.123
lstmfpai,S,3,100,1,1000,1000,1000,"1,7,16",1,283,23465795.74,6127878.227
lstmfpai,S,3,100,1,1000,1000,1000,"1,7,16",1,310,30869594.1,7489942.155
lstmfpai,S,3,100,1,1000,1000,1000,"1,7,16",1,391,29382605.58,8591030.469
lstmfpai,S,3,100,1,1000,1000,1000,"1,7,16",1,267,40094953.68,2418338.464
lstmfpai,S,3,100,1,50,50,50,"1,7,16",1,110,8165.66,778.8876841
lstmfpai,S,3,100,1,50,50,50,"1,7,16",1,193,7965.04,41.68738898
lstmfpai,S,3,100,1,50,50,50,"1,7,16",1,1243,7982.46,60.13491831
lstmfpai,S,3,100,1,50,50,50,"1,7,16",1,109,8070.3,47.5895997
lstmfpai,S,3,100,1,50,50,50,"1,7,16",1,190,8053.42,78.63767291
lstmfpai,S,3,100,1,288,288,288,"1,7,16",1,1589,818849.46,9231.041157
lstmfpai,S,3,100,1,288,288,288,"1,7,16",1,130,827174.42,5042.308948
lstmfpai,S,3,100,1,288,288,288,"1,7,16",1,134,607415.86,306618.2839
lstmfpai,S,3,100,1,288,288,288,"1,7,16",1,346,816730.74,5111.438556
lstmfpai,S,3,100,1,288,288,288,"1,7,16",1,126,811625.9,6438.981436
lstmfpai,S,3,100,1,192,192,192,"1,7,16",1,119,69132.98,1770.172596
lstmfpai,S,3,100,1,192,192,192,"1,7,16",1,580,69957.84,278.620341
lstmfpai,S,3,100,1,192,192,192,"1,7,16",1,1107,69952.72,264.5903279
lstmfpai,S,3,100,1,192,192,192,"1,7,16",1,125,69787.26,382.5632397
lstmfpai,S,3,100,1,192,192,192,"1,7,16",1,185,69331.24,293.6243559
lstmfpai,S,3,100,1,160,160,160,"1,7,16",1,108,50952.98,1385.302328
lstmfpai,S,3,100,1,160,160,160,"1,7,16",1,335,51203.52,178.4573047
lstmfpai,S,3,100,1,160,160,160,"1,7,16",1,353,51486.6,153.5618442
lstmfpai,S,3,100,1,160,160,160,"1,7,16",1,215,51485.7,191.9866922
lstmfpai,S,3,100,1,160,160,160,"1,7,16",1,246,51545.96,127.8818142
lstmfpai,S,3,100,1,350,350,350,"1,7,16",1,124,1460543.62,14991.3582
lstmfpai,S,3,100,1,350,350,350,"1,7,16",1,136,907212.78,554970.0209
lstmfpai,S,3,100,1,350,350,350,"1,7,16",1,314,1421202.56,6673.66099
