algorithm,precision,dims,iterations,s,nx,ny,nz,substrate_step,init_time,time,std_dev
lstmfppai,S,3,100,1,64,64,64,1,96,5221.76,1232.061907
lstmfppai,S,3,100,1,64,64,64,1,266,5033.48,72.55018677
lstmfppai,S,3,100,1,64,64,64,1,116,5062.4,76.93217792
lstmfppai,S,3,100,1,64,64,64,1,114,5109.34,143.4236536
lstmfppai,S,3,100,1,64,64,64,1,115,5096.72,26.12970723
lstmfppai,S,3,100,1,500,500,500,1,100,2275951.68,994813.2048
lstmfppai,S,3,100,1,500,500,500,1,158,1747041.3,847311.1899
lstmfppai,S,3,100,1,500,500,500,1,135,1284211,720712.8237
lstmfppai,S,3,100,1,500,500,500,1,134,3154055.08,322541.3954
lstmfppai,S,3,100,1,500,500,500,1,135,3238072.78,47998.2975
lstmfppai,S,3,100,1,1000,1000,1000,1,1218,7777940,1335992.684
lstmfppai,S,3,100,1,1000,1000,1000,1,156,11886894.38,852691.6136
lstmfppai,S,3,100,1,1000,1000,1000,1,1152,9063489.68,3555982.427
lstmfppai,S,3,100,1,1000,1000,1000,1,162,13808743.08,7138773.908
lstmfppai,S,3,100,1,1000,1000,1000,1,147,14979818.04,5651426.493
lstmfppai,S,3,100,1,50,50,50,1,104,3080.42,529.0888806
lstmfppai,S,3,100,1,50,50,50,1,231,3001.38,33.89978761
lstmfppai,S,3,100,1,50,50,50,1,147,2997.52,27.6486817
lstmfppai,S,3,100,1,50,50,50,1,164,3004.9,26.90223039
lstmfppai,S,3,100,1,50,50,50,1,163,2992.3,24.93692042
lstmfppai,S,3,100,1,288,288,288,1,146,412679.02,3848.75854
lstmfppai,S,3,100,1,288,288,288,1,122,410995.72,420.9193766
lstmfppai,S,3,100,1,288,288,288,1,159,413004.32,618.2183252
lstmfppai,S,3,100,1,288,288,288,1,118,412839.26,601.3181457
lstmfppai,S,3,100,1,288,288,288,1,148,413647.28,504.8955948
lstmfppai,S,3,100,1,192,192,192,1,102,59885.68,1400.08119
lstmfppai,S,3,100,1,192,192,192,1,277,60339.78,200.9029905
lstmfppai,S,3,100,1,192,192,192,1,179,60165.36,380.3273201
lstmfppai,S,3,100,1,192,192,192,1,186,59796.28,188.8278624
lstmfppai,S,3,100,1,192,192,192,1,216,59790.38,201.9958307
lstmfppai,S,3,100,1,160,160,160,1,93,35949.08,805.1798269
lstmfppai,S,3,100,1,160,160,160,1,249,35844.26,44.90559431
lstmfppai,S,3,100,1,160,160,160,1,146,35848.56,44.08136114
lstmfppai,S,3,100,1,160,160,160,1,179,35948.94,175.1992477
lstmfppai,S,3,100,1,160,160,160,1,194,36019.22,42.47365772
lstmfppai,S,3,100,1,350,350,350,1,99,798541.78,8125.212611
lstmfppai,S,3,100,1,350,350,350,1,113,797198.24,4637.194723
lstmfppai,S,3,100,1,350,350,350,1,122,747971.64,81956.79267
lstmfppai,S,3,100,1,350,350,350,1,119,792977.2,1444.880798
lstmfppai,S,3,100,1,350,350,350,1,166,793808.22,917.1551949
lstmfppai,S,3,100,1,96,96,96,1,100,10067.88,1217.766786
lstmfppai,S,3,100,1,96,96,96,1,252,9730.98,150.5048159
lstmfppai,S,3,100,1,96,96,96,1,108,9651.9,40.81531575
lstmfppai,S,3,100,1,96,96,96,1,104,9704.12,42.02125177
lstmfppai,S,3,100,1,96,96,96,1,1252,9626.94,35.1797726
lstmfppai,S,3,100,1,128,128,128,1,94,33051.84,1162.409745
lstmfppai,S,3,100,1,128,128,128,1,270,35213.96,1340.96844
lstmfppai,S,3,100,1,128,128,128,1,155,36279.9,104.2925213
lstmfppai,S,3,100,1,128,128,128,1,121,36345.58,73.89021315
lstmfppai,S,3,100,1,128,128,128,1,113,36270.6,48.08201327
lstmfppai,S,3,100,1,150,150,150,1,97,39486.16,1212.477899
lstmfppai,S,3,100,1,150,150,150,1,191,39272.1,239.1302783
lstmfppai,S,3,100,1,150,150,150,1,1262,38965.38,144.753154
lstmfppai,S,3,100,1,150,150,150,1,111,39060.82,193.8228769
lstmfppai,S,3,100,1,150,150,150,1,108,39239.88,144.2092424
lstmfppai,S,3,100,1,250,250,250,1,94,262313.72,1777.249144
lstmfppai,S,3,100,1,250,250,250,1,96,261008.3,862.4683241
lstmfppai,S,3,100,1,250,250,250,1,102,263281.08,263.3189579
lstmfppai,S,3,100,1,250,250,250,1,130,260529.28,607.28626
lstmfppai,S,3,100,1,250,250,250,1,109,263426.58,265.3903608
lstmfppai,S,3,100,1,300,300,300,1,110,467088.36,14011.94558
lstmfppai,S,3,100,1,300,300,300,1,112,460033.92,5104.481403
lstmfppai,S,3,100,1,300,300,300,1,104,460009.6,788.2475246
