algorithm,precision,dims,iterations,s,nx,ny,nz,substrate_step,x_tile_size,init_time,time,std_dev
lstcsta,S,3,100,1,64,64,64,1,10000,2,6992.62,860.2384063
lstcsta,S,3,100,1,64,64,64,1,10000,3,6634.94,44.5916629
lstcsta,S,3,100,1,64,64,64,1,10000,3,6621.08,71.35596401
lstcsta,S,3,100,1,64,64,64,1,10000,2,6780.46,36.60393968
lstcsta,S,3,100,1,64,64,64,1,10000,3,6755.44,48.31072759
lstcsta,S,3,100,1,500,500,500,1,10000,20,3101246.36,1432878.933
lstcsta,S,3,100,1,500,500,500,1,10000,25,2942040.62,965521.6192
lstcsta,S,3,100,1,500,500,500,1,10000,23,4967073.9,125732.8728
lstcsta,S,3,100,1,500,500,500,1,10000,25,4961437.56,92115.41004
lstcsta,S,3,100,1,500,500,500,1,10000,23,3998086.7,849109.0212
lstcsta,S,3,100,1,1000,1000,1000,1,10000,36,13481946,2900927.955
lstcsta,S,3,100,1,1000,1000,1000,1,10000,43,20407846.5,9511642.887
lstcsta,S,3,100,1,1000,1000,1000,1,10000,41,18827861.12,7963292.066
lstcsta,S,3,100,1,1000,1000,1000,1,10000,46,15923510.62,5709013.284
lstcsta,S,3,100,1,1000,1000,1000,1,10000,38,16393734.36,3610797.807
lstcsta,S,3,100,1,50,50,50,1,10000,2,5362.86,359.2334066
lstcsta,S,3,100,1,50,50,50,1,10000,3,5236.38,37.95675961
lstcsta,S,3,100,1,50,50,50,1,10000,3,5215.28,40.37971768
lstcsta,S,3,100,1,50,50,50,1,10000,2,5205.14,32.46660438
lstcsta,S,3,100,1,50,50,50,1,10000,2,5215.7,38.70516761
lstcsta,S,3,100,1,288,288,288,1,10000,11,880055.44,3963.558871
lstcsta,S,3,100,1,288,288,288,1,10000,14,769183.48,35727.05006
lstcsta,S,3,100,1,288,288,288,1,10000,21,672646.44,230455.7813
lstcsta,S,3,100,1,288,288,288,1,10000,17,870904.94,13219.24617
lstcsta,S,3,100,1,288,288,288,1,10000,19,897437.56,14130.12067
lstcsta,S,3,100,1,192,192,192,1,10000,8,106120.16,1699.650357
lstcsta,S,3,100,1,192,192,192,1,10000,10,106083.88,679.4850003
lstcsta,S,3,100,1,192,192,192,1,10000,11,105113.1,361.5342999
lstcsta,S,3,100,1,192,192,192,1,10000,11,104981.7,133.9936193
lstcsta,S,3,100,1,192,192,192,1,10000,10,104966.74,115.7602367
lstcsta,S,3,100,1,160,160,160,1,10000,7,58939.26,2447.808087
lstcsta,S,3,100,1,160,160,160,1,10000,10,58457.16,397.861401
lstcsta,S,3,100,1,160,160,160,1,10000,8,58544.56,286.7244782
