algorithm,precision,dims,iterations,s,nx,ny,nz,substrate_step,x_tile_size,init_time,time,std_dev
lstcstai,S,3,100,1,64,64,64,1,10000,2,6489.46,1342.031612
lstcstai,S,3,100,1,64,64,64,1,10000,4,6299.5,169.6346957
lstcstai,S,3,100,1,64,64,64,1,10000,5,6366.42,577.4703833
lstcstai,S,3,100,1,64,64,64,1,10000,3,6276.34,49.50943748
lstcstai,S,3,100,1,64,64,64,1,10000,4,6323.8,57.8442737
lstcstai,S,3,100,1,500,500,500,1,10000,19,2915273.64,1220837.246
lstcstai,S,3,100,1,500,500,500,1,10000,23,2028898.3,447899.7804
lstcstai,S,3,100,1,500,500,500,1,10000,24,2525511.18,1605676.209
lstcstai,S,3,100,1,500,500,500,1,10000,24,3339952.4,1075184.898
lstcstai,S,3,100,1,500,500,500,1,10000,24,3896942.62,566218.844
lstcstai,S,3,100,1,1000,1000,1000,1,10000,122,11285325.72,3173378.455
lstcstai,S,3,100,1,1000,1000,1000,1,10000,55,17496168.44,9616615.979
lstcstai,S,3,100,1,1000,1000,1000,1,10000,47,23243630.5,4212570.387
lstcstai,S,3,100,1,1000,1000,1000,1,10000,51,24986224.6,5950280.886
lstcstai,S,3,100,1,1000,1000,1000,1,10000,44,18070425.82,6096820.851
lstcstai,S,3,100,1,50,50,50,1,10000,2,4627.08,615.6341719
lstcstai,S,3,100,1,50,50,50,1,10000,2,4476.94,46.27025394
lstcstai,S,3,100,1,50,50,50,1,10000,4,4503.38,57.70195491
lstcstai,S,3,100,1,50,50,50,1,10000,2,4483.68,28.37212717
lstcstai,S,3,100,1,50,50,50,1,10000,2,4501.62,26.23348242
lstcstai,S,3,100,1,288,288,288,1,10000,11,856892.96,12690.7421
lstcstai,S,3,100,1,288,288,288,1,10000,17,864068.92,1566.407723
lstcstai,S,3,100,1,288,288,288,1,10000,16,698351.62,185804.6199
lstcstai,S,3,100,1,288,288,288,1,10000,16,846372.72,1548.592445
lstcstai,S,3,100,1,288,288,288,1,10000,17,845812.34,1911.918854
lstcstai,S,3,100,1,192,192,192,1,10000,8,95904.1,2154.698933
lstcstai,S,3,100,1,192,192,192,1,10000,11,96007.84,174.4973765
lstcstai,S,3,100,1,192,192,192,1,10000,11,96010.74,162.948803
lstcstai,S,3,100,1,192,192,192,1,10000,11,96060.74,184.1693579
lstcstai,S,3,100,1,192,192,192,1,10000,10,96079.76,168.0900425
lstcstai,S,3,100,1,160,160,160,1,10000,5,58832.8,1447.746566
lstcstai,S,3,100,1,160,160,160,1,10000,10,58554.76,77.59602052
lstcstai,S,3,100,1,160,160,160,1,10000,10,58605.44,114.0640452
lstcstai,S,3,100,1,160,160,160,1,10000,8,58545.08,90.52178522
lstcstai,S,3,100,1,160,160,160,1,10000,9,58543.68,89.78049677
lstcstai,S,3,100,1,350,350,350,1,10000,13,1679894.7,19491.71996
lstcstai,S,3,100,1,350,350,350,1,10000,25,821730.96,618068.5531
lstcstai,S,3,100,1,350,350,350,1,10000,20,1638468.2,26761.08639
lstcstai,S,3,100,1,350,350,350,1,10000,20,1385293.4,264825.3333
lstcstai,S,3,100,1,350,350,350,1,10000,19,1633145.74,41333.30695
lstcstai,S,3,100,1,96,96,96,1,10000,6,13679.28,1150.415178
lstcstai,S,3,100,1,96,96,96,1,10000,8,13562.62,209.786643
lstcstai,S,3,100,1,96,96,96,1,10000,8,13866.42,85.05788382
lstcstai,S,3,100,1,96,96,96,1,10000,7,13836.4,51.11829418
lstcstai,S,3,100,1,96,96,96,1,10000,7,13845.24,69.70181059
lstcstai,S,3,100,1,128,128,128,1,10000,8,34510.74,1623.647607
lstcstai,S,3,100,1,128,128,128,1,10000,10,34640.22,124.3464981
lstcstai,S,3,100,1,128,128,128,1,10000,9,34716.68,80.81174172
lstcstai,S,3,100,1,128,128,128,1,10000,9,34713.16,78.41794693
lstcstai,S,3,100,1,128,128,128,1,10000,9,34715.5,83.3182453
lstcstai,S,3,100,1,150,150,150,1,10000,5,47079.94,1652.802933
lstcstai,S,3,100,1,150,150,150,1,10000,9,47073.26,94.61243259
lstcstai,S,3,100,1,150,150,150,1,10000,11,47099.76,79.69003953
lstcstai,S,3,100,1,150,150,150,1,10000,10,47091.48,86.5776507
lstcstai,S,3,100,1,150,150,150,1,10000,10,47053.78,64.22905573
lstcstai,S,3,100,1,250,250,250,1,10000,9,630330.1,901.5990073
lstcstai,S,3,100,1,250,250,250,1,10000,14,631308.3,3204.246478
lstcstai,S,3,100,1,250,250,250,1,10000,13,638474.06,1064.403521
lstcstai,S,3,100,1,250,250,250,1,10000,13,399406.86,222754.3107
lstcstai,S,3,100,1,250,250,250,1,10000,14,642294.38,1096.693684
lstcstai,S,3,100,1,300,300,300,1,10000,14,1035581.24,27261.35419
lstcstai,S,3,100,1,300,300,300,1,10000,19,965212.86,26321.24945
lstcstai,S,3,100,1,300,300,300,1,10000,19,563987.22,279399.6987
lstcstai,S,3,100,1,300,300,300,1,10000,21,955579.7,6512.920228
lstcstai,S,3,100,1,300,300,300,1,10000,25,955356.9,5459.337444
lstcstai,S,3,100,1,600,600,600,1,10000,27,2808476.94,2123733.987
lstcstai,S,3,100,1,600,600,600,1,10000,27,3572868.6,1928849.396
lstcstai,S,3,100,1,600,600,600,1,10000,32,6814306.48,644999.5821
lstcstai,S,3,100,1,600,600,600,1,10000,29,5354846.36,631516.8256
lstcstai,S,3,100,1,600,600,600,1,10000,29,7250274.14,838009.43
lstcstai,S,3,100,1,800,800,800,1,10000,27,6336266.32,2682211.031
lstcstai,S,3,100,1,800,800,800,1,10000,34,12871708.72,1984899.226
lstcstai,S,3,100,1,800,800,800,1,10000,35,11432601.18,1213558.767
lstcstai,S,3,100,1,800,800,800,1,10000,40,11920359.96,989563.2891
lstcstai,S,3,100,1,800,800,800,1,10000,33,10127786.78,969527.3416
lstcstai,S,3,100,1,200,200,200,1,10000,7,148946.14,3777.980074
lstcstai,S,3,100,1,200,200,200,1,10000,13,149085.48,190.6379018
lstcstai,S,3,100,1,200,200,200,1,10000,10,149812.12,1196.917552
lstcstai,S,3,100,1,200,200,200,1,10000,11,149666.88,450.8851135
lstcstai,S,3,100,1,200,200,200,1,10000,11,149840.34,720.6732022
lstcstai,S,3,100,1,100,100,100,1,10000,3,19892.66,1129.444919
lstcstai,S,3,100,1,100,100,100,1,10000,5,19719.82,38.98547935
lstcstai,S,3,100,1,100,100,100,1,10000,5,19738.84,43.97652101
lstcstai,S,3,100,1,100,100,100,1,10000,5,19619.42,108.8808688
lstcstai,S,3,100,1,100,100,100,1,10000,5,19585.78,55.50001441
lstcstai,S,3,100,1,450,450,450,1,10000,16,1948251.1,1411260.101
lstcstai,S,3,100,1,450,450,450,1,10000,22,1712460.3,1265997.094
lstcstai,S,3,100,1,450,450,450,1,10000,24,1424580.06,1228278.093
lstcstai,S,3,100,1,450,450,450,1,10000,21,2738674.16,487125.7433
lstcstai,S,3,100,1,450,450,450,1,10000,23,2857849.42,589577.0695
lstcstai,S,3,100,1,256,256,256,1,10000,10,791443.98,37187.40207
lstcstai,S,3,100,1,256,256,256,1,10000,15,590720.5,48278.73135
lstcstai,S,3,100,1,256,256,256,1,10000,14,708572.18,22165.89664
lstcstai,S,3,100,1,256,256,256,1,10000,13,311539.06,123841.2271
lstcstai,S,3,100,1,256,256,256,1,10000,14,506008.7,996.1087541
lstcstai,S,3,100,1,400,400,400,1,10000,15,1873120.34,875969.2956
lstcstai,S,3,100,1,400,400,400,1,10000,22,1679566.94,868528.3293
